entity,year,population,birth_rate_per_1000,death_rate_per_1000,tfr,births_estimated,deaths_estimated
China,1950,544044355.0,40.977,23.094,5.813,22293305.535,12564160.334
China,1951,553758251.0,39.99,22.414,5.699,22144792.457,12411937.438
China,1952,565131435.0,45.116,22.048,6.472,25496469.821,12460017.879
China,1953,577557140.0,41.796,21.313,6.042,24139578.223,12309475.325
China,1954,590113859.0,43.108,20.582,6.278,25438628.234,12145723.446
China,1955,603547014.0,42.627,20.128,6.263,25727398.566,12148194.298
China,1956,616558585.0,39.516,19.327,5.854,24363929.045,11916227.772
China,1957,630356210.0,42.942,18.906,6.425,27068756.37,11917514.506
China,1958,644219478.0,37.697,18.169,5.698,24285141.662,11704823.696
China,1959,652708211.0,31.117,24.364,4.718,20310321.402,15902582.853
China,1960,654802068.0,29.491,29.789,4.451,19310767.787,19505898.804
China,1961,655773484.0,25.74,22.414,3.863,16879609.478,14698506.87
China,1962,665073690.0,40.336,15.562,6.085,26826412.36,10349876.764
China,1963,684552646.0,48.88,15.948,7.513,33460933.336,10917245.598
China,1964,704798263.0,42.667,15.384,6.672,30071627.487,10842616.478
China,1965,723415737.0,41.559,14.759,6.605,30064434.614,10676892.862
China,1966,742402206.0,39.343,14.138,6.307,29208329.991,10496082.388
China,1967,761026025.0,36.099,13.387,5.806,27472278.476,10187855.397
China,1968,781011030.0,40.524,13.026,6.508,31649690.98,10173449.677
China,1969,802140341.0,38.536,12.49,6.175,30911280.181,10018732.859
China,1970,823308964.0,38.214,11.925,6.085,31461928.75,9817959.396
China,1971,844069870.0,35.152,11.239,5.523,29670744.07,9486501.269
China,1972,863677810.0,33.11,10.616,5.112,28596372.289,9168803.631
China,1973,882576945.0,31.314,10.011,4.726,27637014.456,8835477.796
China,1974,900307580.0,28.428,9.49,4.17,25593943.884,8543918.934
China,1975,916116796.0,25.215,8.995,3.571,23099885.011,8240470.58
China,1976,930372293.0,23.661,8.804,3.235,22013538.825,8190997.668
China,1977,943546374.0,21.54,8.19,2.844,20323988.896,7727644.803
China,1978,956161482.0,21.178,7.938,2.716,20249587.866,7590009.844
China,1979,969288071.0,21.821,7.773,2.745,21150834.997,7534276.176
China,1980,983163540.0,22.046,7.636,2.739,21674823.403,7507436.791
China,1981,997721072.0,22.541,7.511,2.792,22489630.684,7493882.972
China,1982,1013588177.0,24.026,7.449,2.972,24352469.541,7550218.33
China,1983,1029064952.0,21.07,7.241,2.559,21682398.539,7451459.317
China,1984,1043849645.0,21.947,7.162,2.607,22909368.159,7476051.157
China,1985,1059807818.0,22.774,7.116,2.633,24136063.247,7541592.433
China,1986,1077233607.0,24.177,7.1,2.721,26044276.916,7648358.61
China,1987,1096217445.0,25.138,7.058,2.76,27556714.132,7737102.727
China,1988,1115244168.0,23.71,6.955,2.539,26442439.223,7756523.188
China,1989,1133991006.0,24.016,6.905,2.52,27233928.0,7830207.896
China,1990,1153582725.0,24.341,6.913,2.514,28079357.109,7974717.378
China,1991,1170788533.0,19.342,6.647,1.934,22645391.805,7782231.379
China,1992,1184574236.0,17.784,6.476,1.776,21066468.213,7671302.752
China,1993,1197308574.0,16.874,6.359,1.691,20203384.878,7613685.222
China,1994,1209003099.0,16.153,6.313,1.628,19529027.058,7632436.564
China,1995,1220133929.0,15.575,6.187,1.588,19003585.944,7548968.619
China,1996,1230944809.0,14.872,6.111,1.554,18306611.199,7522303.728
China,1997,1241139623.0,14.243,6.076,1.527,17677551.65,7541164.349
China,1998,1250847122.0,13.74,6.066,1.522,17186639.456,7587638.642
China,1999,1260176650.0,13.381,6.083,1.53,16862423.754,7665654.562
China,2000,1269581174.0,13.824,6.128,1.628,17550690.149,7779993.434
China,2001,1278725061.0,12.971,6.124,1.563,16586342.766,7830912.274
China,2002,1286866835.0,12.73,6.152,1.566,16381814.81,7916804.769
China,2003,1294517323.0,12.531,6.189,1.57,16221596.575,8011767.712
China,2004,1302100316.0,12.642,6.237,1.605,16461152.195,8121199.671
China,2005,1310027135.0,12.674,6.271,1.624,16603283.909,8215180.164
China,2006,1318054030.0,12.798,6.327,1.644,16868455.476,8339327.848
China,2007,1325813576.0,12.975,6.344,1.666,17202431.149,8410961.326
China,2008,1333821011.0,13.28,6.51,1.701,17713143.026,8683174.782
China,2009,1342522717.0,13.431,6.492,1.714,18031422.612,8715657.479
China,2010,1351561505.0,13.253,6.503,1.687,17912244.626,8789204.467
China,2011,1360250658.0,13.104,6.594,1.668,17824724.622,8969492.839
China,2012,1369520866.0,14.053,6.634,1.798,19245876.73,9085401.425
China,2013,1379008040.0,13.268,6.697,1.714,18296678.675,9235216.844
China,2014,1387951970.0,13.523,6.761,1.769,18769274.49,9383943.269
China,2015,1396134171.0,12.548,6.82,1.67,17518691.578,9521635.046
China,2016,1404052628.0,13.055,6.9,1.772,18329907.059,9687963.133
China,2017,1412354730.0,12.929,7.115,1.795,18260334.304,10048903.904
China,2018,1419008954.0,10.822,7.024,1.539,15356514.9,9967118.893
China,2019,1423520357.0,10.267,7.115,1.496,14615283.505,10128347.34
China,2020,1426106093.0,8.305,7.301,1.236,11843811.102,10412000.585
China,2021,1426437269.0,7.334,7.543,1.117,10461490.931,10759616.32
China,2022,1425179562.0,6.634,7.717,1.034,9454641.214,10998110.68
China,2023,1422584930.0,6.256,8.213,0.999,8899691.322,11683690.03
India,1950,346278818.0,44.149,22.676,5.732,15287863.536,7852218.477
India,1951,353870058.0,44.263,22.531,5.772,15663350.377,7973046.277
India,1952,361874906.0,44.443,22.242,5.821,16082806.447,8048821.659
India,1953,370104570.0,44.585,22.074,5.865,16501112.253,8169688.278
India,1954,378687141.0,44.637,21.448,5.906,16903457.913,8122081.8
India,1955,387700892.0,44.415,21.07,5.911,17219735.118,8168857.794
India,1956,396988905.0,44.148,20.737,5.913,17526266.178,8232358.923
