country,state,entity,year,age,age_band,marital,parity,exposure,source,allocation
United States,01,Alabama,2010,15,15_17,married,all,204.0,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,15,15_17,unmarried,all,31346.333333333332,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,16,15_17,married,all,204.0,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,16,15_17,unmarried,all,31346.333333333332,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,17,15_17,married,all,204.0,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,17,15_17,unmarried,all,31346.333333333332,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,18,18_19,married,all,1574.5,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,18,18_19,unmarried,all,35047.0,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,19,18_19,married,all,1574.5,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,19,18_19,unmarried,all,35047.0,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,20,20_24,married,all,7406.0,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,20,20_24,unmarried,all,26860.8,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,21,20_24,married,all,7406.0,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,21,20_24,unmarried,all,26860.8,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,22,20_24,married,all,7406.0,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,22,20_24,unmarried,all,26860.8,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,23,20_24,married,all,7406.0,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,23,20_24,unmarried,all,26860.8,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,24,20_24,married,all,7406.0,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,24,20_24,unmarried,all,26860.8,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,25,25_29,married,all,14070.4,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,25,25_29,unmarried,all,17343.4,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,26,25_29,married,all,14070.4,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,26,25_29,unmarried,all,17343.4,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,27,25_29,married,all,14070.4,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,27,25_29,unmarried,all,17343.4,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,28,25_29,married,all,14070.4,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,28,25_29,unmarried,all,17343.4,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,29,25_29,married,all,14070.4,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,29,25_29,unmarried,all,17343.4,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,30,30_34,married,all,18571.0,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,30,30_34,unmarried,all,11620.6,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,31,30_34,married,all,18571.0,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,31,30_34,unmarried,all,11620.6,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,32,30_34,married,all,18571.0,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,32,30_34,unmarried,all,11620.6,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,33,30_34,married,all,18571.0,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,33,30_34,unmarried,all,11620.6,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,34,30_34,married,all,18571.0,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,34,30_34,unmarried,all,11620.6,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,35,35_39,married,all,19520.6,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,35,35_39,unmarried,all,11275.4,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,36,35_39,married,all,19520.6,Census ACS1 B12002,uniform_within_band
