SUMLEV,COUNTY,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,001,Adjuntas Municipio,1,18020,8797,9223,604,315,289,1849,906,943,851,448,403,1585,799,786,15126,7341,7785,14716,7128,7588,6600,3259,3341,4380,2133,2247,4947,2402,2545,3804,1794,2010,604,315,289,939,467,472,1126,560,566,1097,568,529,1123,558,565,1156,602,554,1035,505,530,1088,508,580,1101,518,583,1053,509,544,1268,611,657,1349,662,687,1277,620,657,1152,551,601,1002,494,508,705,343,362,473,220,253,472,186,286,43.8,43,44.5
050,001,Adjuntas Municipio,2,18008,8790,9218,585,307,278,1832,896,936,855,449,406,1579,797,782,15150,7351,7799,14736,7138,7598,6594,3260,3334,4378,2134,2244,4934,2392,2542,3845,1815,2030,585,307,278,928,462,466,1122,554,568,1091,565,526,1125,561,564,1148,595,553,1048,515,533,1079,503,576,1103,521,582,1051,506,545,1261,608,653,1340,659,681,1282,619,663,1166,560,606,1000,490,510,721,353,368,479,221,258,479,191,288,44,43.1,44.7
050,001,Adjuntas Municipio,3,18026,8798,9228,543,284,259,1770,865,905,867,452,415,1538,782,756,15276,7418,7858,14846,7197,7649,6581,3275,3306,4398,2153,2245,4921,2375,2546,3989,1887,2102,543,284,259,892,447,445,1100,530,570,1058,555,503,1125,567,558,1121,569,552,1098,552,546,1062,496,566,1117,536,581,1060,502,558,1241,601,640,1317,653,664,1303,619,684,1214,587,627,985,480,505,768,377,391,502,232,270,520,211,309,44.5,43.7,45.3
050,001,Adjuntas Municipio,4,17896,8743,9153,526,280,246,1654,818,836,874,448,426,1473,745,728,15270,7428,7842,14842,7197,7645,6491,3232,3259,4374,2147,2227,4894,2358,2536,4101,1947,2154,526,280,246,831,417,414,1053,509,544,1031,538,493,1086,547,539,1102,556,546,1120,565,555,1033,485,548,1119,541,578,1065,498,567,1194,586,608,1307,645,662,1328,629,699,1225,598,627,991,490,501,799,383,416,527,251,276,559,225,334,45.2,44.4,46
050,001,Adjuntas Municipio,5,17887,8725,9162,512,268,244,1549,770,779,883,443,440,1442,733,709,15367,7470,7897,14943,7244,7699,6497,3231,3266,4403,2165,2238,4893,2356,2537,4205,1990,2215,512,268,244,759,373,386,1021,507,514,1056,539,517,1038,527,511,1097,544,553,1145,582,563,1033,495,538,1128,544,584,1087,502,585,1142,568,574,1306,631,675,1358,655,703,1222,600,622,1008,498,510,833,398,435,551,262,289,591,232,359,45.7,44.9,46.5
050,001,Adjuntas Municipio,6,17981,8790,9191,523,272,251,1464,742,722,888,427,461,1438,742,696,15551,7567,7984,15106,7349,7757,6547,3251,3296,4434,2181,2253,4883,2362,2521,4351,2064,2287,523,272,251,693,349,344,984,492,492,1086,550,536,1027,520,507,1091,533,558,1161,598,563,1044,507,537,1138,543,595,1116,521,595,1109,552,557,1290,618,672,1368,671,697,1232,602,630,1043,515,528,868,416,452,574,278,296,634,253,381,46.1,45.3,46.8
050,003,Aguada Municipio,1,38136,18626,19510,1181,596,585,3309,1650,1659,1686,846,840,3306,1693,1613,32793,15942,16851,31960,15534,16426,13977,7050,6927,9407,4727,4680,11147,5307,5840,8100,3807,4293,1181,596,585,1737,863,874,1994,1003,991,2156,1096,1060,2414,1227,1187,2510,1279,1231,2305,1169,1136,2165,1074,1091,2427,1205,1222,2306,1142,1164,2768,1283,1485,3076,1465,1611,2997,1417,1580,2621,1280,1341,2105,1012,1093,1501,706,795,977,465,512,896,344,552,45.4,44.1,46.6
050,003,Aguada Municipio,2,38109,18624,19485,1159,586,573,3277,1636,1641,1688,845,843,3279,1684,1595,32821,15967,16854,31985,15557,16428,13948,7042,6906,9404,4727,4677,11121,5300,5821,8181,3846,4335,1159,586,573,1718,855,863,1982,995,987,2143,1088,1055,2401,1227,1174,2505,1276,1229,2325,1182,1143,2149,1065,1084,2425,1204,1221,2300,1139,1161,2738,1270,1468,3086,1470,1616,2997,1421,1576,2647,1289,1358,2113,1017,1096,1515,712,803,988,473,515,918,355,563,45.5,44.3,46.8
050,003,Aguada Municipio,3,38004,18569,19435,1069,534,535,3145,1577,1568,1681,840,841,3175,1629,1546,32953,16042,16911,32109,15618,16491,13882,7040,6842,9441,4774,4667,10999,5239,5760,8494,3976,4518,1069,534,535,1633,818,815,1927,962,965,2087,1053,1034,2354,1213,1141,2505,1280,1225,2402,1235,1167,2115,1058,1057,2419,1201,1218,2284,1130,1154,2618,1225,1393,3092,1463,1629,3005,1421,1584,2731,1311,1420,2143,1047,1096,1595,732,863,1031,492,539,994,394,600,46,44.7,47.3
050,003,Aguada Municipio,4,37647,18387,19260,1053,537,516,2958,1481,1477,1618,809,809,3033,1540,1493,32849,15985,16864,32018,15560,16458,13629,6906,6723,9357,4742,4615,10859,5185,5674,8769,4093,4676,1053,537,516,1495,751,744,1842,915,927,2036,1015,1021,2236,1149,1087,2483,1283,1200,2403,1228,1175,2088,1056,1032,2383,1175,1208,2264,1117,1147,2519,1204,1315,3044,1437,1607,3032,1427,1605,2785,1332,1453,2172,1049,1123,1696,776,920,1063,508,555,1053,428,625,46.7,45.4,48
