country,year,age,marital,parity,weight,source
United States,2010,16,married,all,4047.94528995248,NSFG 2017-2019 FemPreg weighted
United States,2010,19,married,all,20896.96982795151,NSFG 2017-2019 FemPreg weighted
United States,2010,20,married,all,88174.15032464295,NSFG 2017-2019 FemPreg weighted
United States,2010,21,married,all,27820.70033095547,NSFG 2017-2019 FemPreg weighted
United States,2010,22,married,all,53201.601753004805,NSFG 2017-2019 FemPreg weighted
United States,2010,23,married,all,61934.949883401394,NSFG 2017-2019 FemPreg weighted
United States,2010,24,married,all,173509.88110534498,NSFG 2017-2019 FemPreg weighted
United States,2010,25,married,all,100455.19563587327,NSFG 2017-2019 FemPreg weighted
United States,2010,26,married,all,234294.3398302985,NSFG 2017-2019 FemPreg weighted
United States,2010,27,married,all,199335.65897153702,NSFG 2017-2019 FemPreg weighted
United States,2010,28,married,all,81646.50459948875,NSFG 2017-2019 FemPreg weighted
United States,2010,29,married,all,70952.18792844184,NSFG 2017-2019 FemPreg weighted
United States,2010,30,married,all,166459.9272866192,NSFG 2017-2019 FemPreg weighted
United States,2010,31,married,all,104535.25228476178,NSFG 2017-2019 FemPreg weighted
United States,2010,32,married,all,86110.28121453078,NSFG 2017-2019 FemPreg weighted
United States,2010,33,married,all,116746.03636030245,NSFG 2017-2019 FemPreg weighted
United States,2010,34,married,all,202700.8776855036,NSFG 2017-2019 FemPreg weighted
United States,2010,35,married,all,37840.83411484406,NSFG 2017-2019 FemPreg weighted
United States,2010,36,married,all,53325.79279807189,NSFG 2017-2019 FemPreg weighted
United States,2010,37,married,all,203929.3575270688,NSFG 2017-2019 FemPreg weighted
United States,2010,38,married,all,51976.20394014026,NSFG 2017-2019 FemPreg weighted
United States,2010,39,married,all,45644.215761910076,NSFG 2017-2019 FemPreg weighted
United States,2010,40,married,all,38385.38325530026,NSFG 2017-2019 FemPreg weighted
United States,2010,41,married,all,94295.07669267015,NSFG 2017-2019 FemPreg weighted
United States,2010,16,married,first,4047.94528995248,NSFG 2017-2019 FemPreg weighted
United States,2010,19,married,first,13927.7081181697,NSFG 2017-2019 FemPreg weighted
United States,2010,20,married,first,22382.720691635248,NSFG 2017-2019 FemPreg weighted
United States,2010,21,married,first,17867.9785076954,NSFG 2017-2019 FemPreg weighted
United States,2010,22,married,first,2502.76526943921,NSFG 2017-2019 FemPreg weighted
United States,2010,23,married,first,6474.07904077653,NSFG 2017-2019 FemPreg weighted
United States,2010,24,married,first,84341.21930567939,NSFG 2017-2019 FemPreg weighted
United States,2010,25,married,first,54812.32150422986,NSFG 2017-2019 FemPreg weighted
United States,2010,26,married,first,65942.03027147596,NSFG 2017-2019 FemPreg weighted
United States,2010,27,married,first,120415.07468086341,NSFG 2017-2019 FemPreg weighted
United States,2010,28,married,first,20304.81662590709,NSFG 2017-2019 FemPreg weighted
United States,2010,29,married,first,5514.84477454175,NSFG 2017-2019 FemPreg weighted
United States,2010,30,married,first,146708.79340285686,NSFG 2017-2019 FemPreg weighted
United States,2010,31,married,first,47226.296762802376,NSFG 2017-2019 FemPreg weighted
United States,2010,32,married,first,51132.17113824931,NSFG 2017-2019 FemPreg weighted
United States,2010,33,married,first,40940.86535120596,NSFG 2017-2019 FemPreg weighted
United States,2010,34,married,first,145909.90523590744,NSFG 2017-2019 FemPreg weighted
United States,2010,35,married,first,9110.81493161951,NSFG 2017-2019 FemPreg weighted
United States,2010,36,married,first,15848.3676132554,NSFG 2017-2019 FemPreg weighted
United States,2010,37,married,first,48568.0048664535,NSFG 2017-2019 FemPreg weighted
United States,2010,38,married,first,44104.788858700966,NSFG 2017-2019 FemPreg weighted
United States,2010,39,married,first,6507.88895831988,NSFG 2017-2019 FemPreg weighted
United States,2010,40,married,first,32761.193635293515,NSFG 2017-2019 FemPreg weighted
United States,2010,41,married,first,9628.57189855946,NSFG 2017-2019 FemPreg weighted
United States,2010,19,married,second,6969.26170978181,NSFG 2017-2019 FemPreg weighted
United States,2010,20,married,second,54730.9448569679,NSFG 2017-2019 FemPreg weighted
United States,2010,21,married,second,5182.694440727961,NSFG 2017-2019 FemPreg weighted
United States,2010,22,married,second,46899.118640856104,NSFG 2017-2019 FemPreg weighted
United States,2010,23,married,second,38385.97839266454,NSFG 2017-2019 FemPreg weighted
United States,2010,24,married,second,50147.983532714774,NSFG 2017-2019 FemPreg weighted
United States,2010,25,married,second,21029.824420590427,NSFG 2017-2019 FemPreg weighted
United States,2010,26,married,second,162854.0217995653,NSFG 2017-2019 FemPreg weighted
United States,2010,27,married,second,56007.07481300284,NSFG 2017-2019 FemPreg weighted
United States,2010,28,married,second,5908.51651480736,NSFG 2017-2019 FemPreg weighted
United States,2010,29,married,second,32678.844409497287,NSFG 2017-2019 FemPreg weighted
United States,2010,30,married,second,17191.48877928232,NSFG 2017-2019 FemPreg weighted
United States,2010,31,married,second,25477.47479687814,NSFG 2017-2019 FemPreg weighted
United States,2010,32,married,second,21846.8220291306,NSFG 2017-2019 FemPreg weighted
United States,2010,33,married,second,36801.18966577814,NSFG 2017-2019 FemPreg weighted
United States,2010,34,married,second,40832.09886050439,NSFG 2017-2019 FemPreg weighted
United States,2010,35,married,second,28730.019183224547,NSFG 2017-2019 FemPreg weighted
United States,2010,36,married,second,25134.058258017292,NSFG 2017-2019 FemPreg weighted
United States,2010,37,married,second,19171.3329452778,NSFG 2017-2019 FemPreg weighted
United States,2010,39,married,second,12049.618401475,NSFG 2017-2019 FemPreg weighted
United States,2010,40,married,second,5624.18962000674,NSFG 2017-2019 FemPreg weighted
United States,2010,20,married,third_plus,11060.4847760398,NSFG 2017-2019 FemPreg weighted
United States,2010,21,married,third_plus,4770.02738253211,NSFG 2017-2019 FemPreg weighted
United States,2010,22,married,third_plus,3799.71784270949,NSFG 2017-2019 FemPreg weighted
United States,2010,23,married,third_plus,17074.89244996032,NSFG 2017-2019 FemPreg weighted
United States,2010,24,married,third_plus,39020.67826695082,NSFG 2017-2019 FemPreg weighted
United States,2010,25,married,third_plus,24613.04971105299,NSFG 2017-2019 FemPreg weighted
United States,2010,26,married,third_plus,5498.28775925725,NSFG 2017-2019 FemPreg weighted
United States,2010,27,married,third_plus,22913.50947767077,NSFG 2017-2019 FemPreg weighted
