country,year,age,marital,parity,weight,source
United States,2018,19,married,all,13935.7290659439,NSFG 2017-2019 FemPreg weighted
United States,2018,20,married,all,6807.26781191199,NSFG 2017-2019 FemPreg weighted
United States,2018,21,married,all,15152.4911954059,NSFG 2017-2019 FemPreg weighted
United States,2018,22,married,all,3970.95239145601,NSFG 2017-2019 FemPreg weighted
United States,2018,23,married,all,56357.803284556125,NSFG 2017-2019 FemPreg weighted
United States,2018,24,married,all,39230.53345944071,NSFG 2017-2019 FemPreg weighted
United States,2018,25,married,all,4356.22510121578,NSFG 2017-2019 FemPreg weighted
United States,2018,26,married,all,46969.27865275758,NSFG 2017-2019 FemPreg weighted
United States,2018,27,married,all,43949.96805167778,NSFG 2017-2019 FemPreg weighted
United States,2018,28,married,all,83434.432305811,NSFG 2017-2019 FemPreg weighted
United States,2018,29,married,all,23979.10970783453,NSFG 2017-2019 FemPreg weighted
United States,2018,30,married,all,182776.52478072385,NSFG 2017-2019 FemPreg weighted
United States,2018,31,married,all,47540.14602396362,NSFG 2017-2019 FemPreg weighted
United States,2018,32,married,all,223558.35966063305,NSFG 2017-2019 FemPreg weighted
United States,2018,33,married,all,144120.4843734917,NSFG 2017-2019 FemPreg weighted
United States,2018,34,married,all,51453.06991817255,NSFG 2017-2019 FemPreg weighted
United States,2018,35,married,all,77374.5081323327,NSFG 2017-2019 FemPreg weighted
United States,2018,36,married,all,61540.17132409572,NSFG 2017-2019 FemPreg weighted
United States,2018,37,married,all,20855.6479095988,NSFG 2017-2019 FemPreg weighted
United States,2018,38,married,all,14178.390002752702,NSFG 2017-2019 FemPreg weighted
United States,2018,39,married,all,17266.5002092086,NSFG 2017-2019 FemPreg weighted
United States,2018,40,married,all,19584.515307292888,NSFG 2017-2019 FemPreg weighted
United States,2018,41,married,all,21843.475928624,NSFG 2017-2019 FemPreg weighted
United States,2018,42,married,all,73629.9323734155,NSFG 2017-2019 FemPreg weighted
United States,2018,44,married,all,8161.13759604294,NSFG 2017-2019 FemPreg weighted
United States,2018,20,married,first,4012.77165492011,NSFG 2017-2019 FemPreg weighted
United States,2018,21,married,first,15152.4911954059,NSFG 2017-2019 FemPreg weighted
United States,2018,23,married,first,22861.3249175998,NSFG 2017-2019 FemPreg weighted
United States,2018,24,married,first,23336.99202134921,NSFG 2017-2019 FemPreg weighted
United States,2018,25,married,first,4356.22510121578,NSFG 2017-2019 FemPreg weighted
United States,2018,26,married,first,2729.93870943734,NSFG 2017-2019 FemPreg weighted
United States,2018,27,married,first,38132.82159667906,NSFG 2017-2019 FemPreg weighted
United States,2018,28,married,first,15227.4720673149,NSFG 2017-2019 FemPreg weighted
United States,2018,29,married,first,17860.3134668653,NSFG 2017-2019 FemPreg weighted
United States,2018,30,married,first,87991.1115358373,NSFG 2017-2019 FemPreg weighted
United States,2018,32,married,first,21970.74295353106,NSFG 2017-2019 FemPreg weighted
United States,2018,33,married,first,83467.13627136183,NSFG 2017-2019 FemPreg weighted
United States,2018,34,married,first,11977.515365824,NSFG 2017-2019 FemPreg weighted
United States,2018,35,married,first,12773.7261361201,NSFG 2017-2019 FemPreg weighted
