country,year,age,marital,parity,weight,source
United States,2018,18,married,all,5471.84455621821,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,19,married,all,13090.24829451295,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,20,married,all,47555.69627424791,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,21,married,all,90272.93852870728,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,22,married,all,70949.48569621351,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,23,married,all,222232.61489411586,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,24,married,all,405787.4876526524,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,25,married,all,439278.0450285018,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,26,married,all,631689.5654493943,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,27,married,all,865150.482959372,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,28,married,all,896494.1936703159,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,29,married,all,977653.7927406576,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,30,married,all,802693.788302263,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,31,married,all,1137550.162687598,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,32,married,all,1181822.4887610087,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,33,married,all,1425234.7063119079,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,34,married,all,1173613.6606471816,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,35,married,all,1533942.4244212052,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,36,married,all,1320336.7728486375,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,37,married,all,946926.8530659927,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,38,married,all,1277427.583884622,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,39,married,all,1014995.5503473937,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,40,married,all,1113752.0149244335,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,41,married,all,1116572.284577019,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,42,married,all,1116332.4376427813,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,43,married,all,1208374.7346057408,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,44,married,all,948272.9362367849,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,15,unmarried,all,1430584.950365783,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,16,unmarried,all,2110751.883591486,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,17,unmarried,all,2035139.4844141547,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,18,unmarried,all,1887541.679578051,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,19,unmarried,all,1956596.9091998003,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,20,unmarried,all,1911283.10499413,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,21,unmarried,all,1908620.7392203428,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,22,unmarried,all,1881213.668612216,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,23,unmarried,all,1659072.2515334357,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,24,unmarried,all,1754037.0125939397,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,25,unmarried,all,1837027.3052957805,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,26,unmarried,all,1666157.3474749506,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,27,unmarried,all,1542281.206273733,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,28,unmarried,all,1270645.329471024,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,29,unmarried,all,1314246.7316362676,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,30,unmarried,all,1196565.4743070453,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,31,unmarried,all,1017798.544518877,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,32,unmarried,all,1066223.6462005603,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,33,unmarried,all,1072016.3103991216,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,34,unmarried,all,797895.2178644383,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,35,unmarried,all,1066885.399925276,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,36,unmarried,all,1035368.1081853677,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,37,unmarried,all,944260.8427084815,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,38,unmarried,all,770509.3363192301,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,39,unmarried,all,799061.1282937949,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,40,unmarried,all,1131173.920388899,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,41,unmarried,all,737471.3719545573,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,42,unmarried,all,678774.2838124796,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,43,unmarried,all,883343.1655419021,NSFG 2017-2019 FemResp weighted snapshot
United States,2018,44,unmarried,all,775299.672567774,NSFG 2017-2019 FemResp weighted snapshot
