entity,state,year,female_15_44,source_url
Alabama,01,2007,949443,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Alabama,01,2008,951104,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Alabama,01,2009,950315,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Alabama,01,2010,958387,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Alabama,01,2011,956950,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Alabama,01,2012,957963,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Alabama,01,2013,959105,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Alabama,01,2014,957755,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Alabama,01,2015,954761,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Alabama,01,2016,950852,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Alabama,01,2017,948297,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Alabama,01,2018,947147,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Alabama,01,2019,947505,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Alabama,01,2020,969497,https://www2.census.gov/programs-surveys/popest/datasets/2020-2021/state/asrh/sc-est2021-agesex-civ.csv
Alabama,01,2021,974829,https://www2.census.gov/programs-surveys/popest/datasets/2020-2021/state/asrh/sc-est2021-agesex-civ.csv
Delaware,10,2007,177317,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Delaware,10,2008,177190,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Delaware,10,2009,176795,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Delaware,10,2010,178514,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Delaware,10,2011,178655,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Delaware,10,2012,178459,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Delaware,10,2013,178784,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Delaware,10,2014,179035,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Delaware,10,2015,178955,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Delaware,10,2016,178218,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Delaware,10,2017,178179,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Delaware,10,2018,178615,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Delaware,10,2019,179495,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Delaware,10,2020,182801,https://www2.census.gov/programs-surveys/popest/datasets/2020-2021/state/asrh/sc-est2021-agesex-civ.csv
Delaware,10,2021,185093,https://www2.census.gov/programs-surveys/popest/datasets/2020-2021/state/asrh/sc-est2021-agesex-civ.csv
District of Columbia,11,2007,145865,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
District of Columbia,11,2008,147193,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
District of Columbia,11,2009,150841,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
District of Columbia,11,2010,162793,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
District of Columbia,11,2011,166682,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
District of Columbia,11,2012,170741,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
District of Columbia,11,2013,174176,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
District of Columbia,11,2014,176811,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
District of Columbia,11,2015,180590,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
District of Columbia,11,2016,183210,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
District of Columbia,11,2017,186031,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
District of Columbia,11,2018,187938,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
District of Columbia,11,2019,189607,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
District of Columbia,11,2020,185234,https://www2.census.gov/programs-surveys/popest/datasets/2020-2021/state/asrh/sc-est2021-agesex-civ.csv
District of Columbia,11,2021,177124,https://www2.census.gov/programs-surveys/popest/datasets/2020-2021/state/asrh/sc-est2021-agesex-civ.csv
Florida,12,2007,3518042,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Florida,12,2008,3505482,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Florida,12,2009,3483271,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Florida,12,2010,3553835,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Florida,12,2011,3571276,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Florida,12,2012,3603008,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Florida,12,2013,3635323,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Florida,12,2014,3674296,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Florida,12,2015,3721441,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Florida,12,2016,3773513,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Florida,12,2017,3819257,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Florida,12,2018,3851386,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Florida,12,2019,3877863,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Florida,12,2020,3888427,https://www2.census.gov/programs-surveys/popest/datasets/2020-2021/state/asrh/sc-est2021-agesex-civ.csv
Florida,12,2021,3925096,https://www2.census.gov/programs-surveys/popest/datasets/2020-2021/state/asrh/sc-est2021-agesex-civ.csv
Georgia,13,2007,2072331,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Georgia,13,2008,2086290,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Georgia,13,2009,2089095,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Georgia,13,2010,2065974,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Georgia,13,2011,2067629,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Georgia,13,2012,2078223,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Georgia,13,2013,2081959,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Georgia,13,2014,2091522,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Georgia,13,2015,2104203,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Georgia,13,2016,2120722,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Georgia,13,2017,2134594,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Georgia,13,2018,2149822,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Georgia,13,2019,2170880,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
