country,entity,state,year,marital,parity,births_15_44,female_15_44,asfr_15_44
United States,Alabama,01,2007,all,all,64804.0,949443.0,68.25475568306892
United States,Alaska,02,2007,all,all,11052.0,143502.0,77.01634820420622
United States,Arizona,04,2007,all,all,102981.0,1272915.0,80.90170985493926
United States,Arkansas,05,2007,all,all,41378.0,568678.0,72.76173862889017
United States,California,06,2007,all,all,566414.0,7671864.0,73.83003661170218
United States,Colorado,08,2007,all,all,70809.0,1008607.0,70.20474773623424
United States,Connecticut,09,2007,all,all,41660.0,695342.0,59.912963692686475
United States,Delaware,10,2007,all,all,12170.0,177317.0,68.63414111450115
United States,District of Columbia,11,2007,all,all,8864.0,145865.0,60.768518835909916
United States,Florida,12,2007,all,all,239165.0,3518042.0,67.98241749245746
United States,Georgia,13,2007,all,all,151137.0,2072331.0,72.93091692398559
United States,Hawaii,15,2007,all,all,19134.0,249589.0,76.66203238123474
United States,Idaho,16,2007,all,all,25019.0,301527.0,82.9743273405035
United States,Illinois,17,2007,all,all,180836.0,2661051.0,67.95660812212918
United States,Indiana,18,2007,all,all,89864.0,1289608.0,69.68319055092711
United States,Iowa,19,2007,all,all,40886.0,581795.0,70.2756125439373
United States,Kansas,20,2007,all,all,42004.0,555066.0,75.67388382642785
United States,Kentucky,21,2007,all,all,59368.0,869003.0,68.3173705959588
United States,Louisiana,22,2007,all,all,66301.0,918635.0,72.17338768934341
United States,Maine,23,2007,all,all,14120.0,253292.0,55.745937495064986
United States,Maryland,24,2007,all,all,78095.0,1191236.0,65.55795828870183
United States,Massachusetts,25,2007,all,all,77967.0,1362374.0,57.22877858796483
United States,Michigan,26,2007,all,all,125261.0,2028936.0,61.73728496118162
United States,Minnesota,27,2007,all,all,73735.0,1057962.0,69.69531986971177
United States,Mississippi,28,2007,all,all,46491.0,608735.0,76.37313445095157
United States,Missouri,29,2007,all,all,81930.0,1197985.0,68.3898379362012
United States,Montana,30,2007,all,all,12439.0,182317.0,68.22731835210101
United States,Nebraska,31,2007,all,all,26934.0,353174.0,76.26269204414821
United States,Nevada,32,2007,all,all,41181.0,521596.0,78.95190914040752
United States,New Hampshire,33,2007,all,all,14168.0,264493.0,53.56663503381942
United States,New Jersey,34,2007,all,all,116063.0,1736320.0,66.84424530040546
United States,New Mexico,35,2007,all,all,30616.0,395234.0,77.46297130307616
United States,New York,36,2007,all,all,253451.0,4068692.0,62.292992440813904
United States,North Carolina,37,2007,all,all,131037.0,1884561.0,69.53184322502693
United States,North Dakota,38,2007,all,all,8840.0,126944.0,69.6370052936728
United States,Ohio,39,2007,all,all,150879.0,2311157.0,65.28288645037962
United States,Oklahoma,40,2007,all,all,55065.0,724287.0,76.02649226066463
United States,Oregon,41,2007,all,all,49378.0,745016.0,66.27777121565174
United States,Pennsylvania,42,2007,all,all,150713.0,2460169.0,61.26123855718855
United States,Rhode Island,44,2007,all,all,12376.0,218790.0,56.56565656565657
United States,South Carolina,45,2007,all,all,62875.0,905744.0,69.41806956491017
United States,South Dakota,46,2007,all,all,12261.0,153879.0,79.67948842922036
United States,Tennessee,47,2007,all,all,86711.0,1269971.0,68.27793705525559
United States,Texas,48,2007,all,all,407625.0,5072933.0,80.35292403822405
United States,Utah,49,2007,all,all,55130.0,590996.0,93.2832032704113
United States,Vermont,50,2007,all,all,6513.0,123121.0,52.899180480990246
United States,Virginia,51,2007,all,all,108884.0,1630761.0,66.76882755964854
United States,Washington,53,2007,all,all,88978.0,1327500.0,67.02674199623353
United States,West Virginia,54,2007,all,all,21994.0,348378.0,63.13257438759049
United States,Wisconsin,55,2007,all,all,72784.0,1125996.0,64.63966124213586
