entity,state,year,housing_cost_burden,rent_burden_share,median_gross_rent,estimate_type,source_url
Pennsylvania,42,2020,0.4314253578164173,0.4314253578164173,,acs5_B25070,https://api.census.gov/data/2020/acs/acs5?get=NAME%2CB25070_001E%2CB25070_007E%2CB25070_008E%2CB25070_009E%2CB25070_010E&for=state%3A%2A
California,06,2020,0.5150699546691833,0.5150699546691833,,acs5_B25070,https://api.census.gov/data/2020/acs/acs5?get=NAME%2CB25070_001E%2CB25070_007E%2CB25070_008E%2CB25070_009E%2CB25070_010E&for=state%3A%2A
West Virginia,54,2020,0.38646361573334576,0.38646361573334576,,acs5_B25070,https://api.census.gov/data/2020/acs/acs5?get=NAME%2CB25070_001E%2CB25070_007E%2CB25070_008E%2CB25070_009E%2CB25070_010E&for=state%3A%2A
Utah,49,2020,0.42077975663043404,0.42077975663043404,,acs5_B25070,https://api.census.gov/data/2020/acs/acs5?get=NAME%2CB25070_001E%2CB25070_007E%2CB25070_008E%2CB25070_009E%2CB25070_010E&for=state%3A%2A
New York,36,2020,0.4862071620603355,0.4862071620603355,,acs5_B25070,https://api.census.gov/data/2020/acs/acs5?get=NAME%2CB25070_001E%2CB25070_007E%2CB25070_008E%2CB25070_009E%2CB25070_010E&for=state%3A%2A
District of Columbia,11,2020,0.4297804526165195,0.4297804526165195,,acs5_B25070,https://api.census.gov/data/2020/acs/acs5?get=NAME%2CB25070_001E%2CB25070_007E%2CB25070_008E%2CB25070_009E%2CB25070_010E&for=state%3A%2A
Alaska,02,2020,0.4027083310132855,0.4027083310132855,,acs5_B25070,https://api.census.gov/data/2020/acs/acs5?get=NAME%2CB25070_001E%2CB25070_007E%2CB25070_008E%2CB25070_009E%2CB25070_010E&for=state%3A%2A
Florida,12,2020,0.526391798346164,0.526391798346164,,acs5_B25070,https://api.census.gov/data/2020/acs/acs5?get=NAME%2CB25070_001E%2CB25070_007E%2CB25070_008E%2CB25070_009E%2CB25070_010E&for=state%3A%2A
South Carolina,45,2020,0.4369277755976045,0.4369277755976045,,acs5_B25070,https://api.census.gov/data/2020/acs/acs5?get=NAME%2CB25070_001E%2CB25070_007E%2CB25070_008E%2CB25070_009E%2CB25070_010E&for=state%3A%2A
North Dakota,38,2020,0.3582635896241327,0.3582635896241327,,acs5_B25070,https://api.census.gov/data/2020/acs/acs5?get=NAME%2CB25070_001E%2CB25070_007E%2CB25070_008E%2CB25070_009E%2CB25070_010E&for=state%3A%2A
Maine,23,2020,0.41509714640519496,0.41509714640519496,,acs5_B25070,https://api.census.gov/data/2020/acs/acs5?get=NAME%2CB25070_001E%2CB25070_007E%2CB25070_008E%2CB25070_009E%2CB25070_010E&for=state%3A%2A
Georgia,13,2020,0.4527192915572887,0.4527192915572887,,acs5_B25070,https://api.census.gov/data/2020/acs/acs5?get=NAME%2CB25070_001E%2CB25070_007E%2CB25070_008E%2CB25070_009E%2CB25070_010E&for=state%3A%2A
Alabama,01,2020,0.40823781484160626,0.40823781484160626,,acs5_B25070,https://api.census.gov/data/2020/acs/acs5?get=NAME%2CB25070_001E%2CB25070_007E%2CB25070_008E%2CB25070_009E%2CB25070_010E&for=state%3A%2A
New Hampshire,33,2020,0.4389188353716262,0.4389188353716262,,acs5_B25070,https://api.census.gov/data/2020/acs/acs5?get=NAME%2CB25070_001E%2CB25070_007E%2CB25070_008E%2CB25070_009E%2CB25070_010E&for=state%3A%2A
Oregon,41,2020,0.47669697648522746,0.47669697648522746,,acs5_B25070,https://api.census.gov/data/2020/acs/acs5?get=NAME%2CB25070_001E%2CB25070_007E%2CB25070_008E%2CB25070_009E%2CB25070_010E&for=state%3A%2A
Wyoming,56,2020,0.36416005671998936,0.36416005671998936,,acs5_B25070,https://api.census.gov/data/2020/acs/acs5?get=NAME%2CB25070_001E%2CB25070_007E%2CB25070_008E%2CB25070_009E%2CB25070_010E&for=state%3A%2A
Arizona,04,2020,0.4423020254208986,0.4423020254208986,,acs5_B25070,https://api.census.gov/data/2020/acs/acs5?get=NAME%2CB25070_001E%2CB25070_007E%2CB25070_008E%2CB25070_009E%2CB25070_010E&for=state%3A%2A
Louisiana,22,2020,0.4665444750208787,0.4665444750208787,,acs5_B25070,https://api.census.gov/data/2020/acs/acs5?get=NAME%2CB25070_001E%2CB25070_007E%2CB25070_008E%2CB25070_009E%2CB25070_010E&for=state%3A%2A
Indiana,18,2020,0.422499329747746,0.422499329747746,,acs5_B25070,https://api.census.gov/data/2020/acs/acs5?get=NAME%2CB25070_001E%2CB25070_007E%2CB25070_008E%2CB25070_009E%2CB25070_010E&for=state%3A%2A
Idaho,16,2020,0.4134280643173523,0.4134280643173523,,acs5_B25070,https://api.census.gov/data/2020/acs/acs5?get=NAME%2CB25070_001E%2CB25070_007E%2CB25070_008E%2CB25070_009E%2CB25070_010E&for=state%3A%2A
Connecticut,09,2020,0.48327443625818833,0.48327443625818833,,acs5_B25070,https://api.census.gov/data/2020/acs/acs5?get=NAME%2CB25070_001E%2CB25070_007E%2CB25070_008E%2CB25070_009E%2CB25070_010E&for=state%3A%2A
Hawaii,15,2020,0.5053982086661826,0.5053982086661826,,acs5_B25070,https://api.census.gov/data/2020/acs/acs5?get=NAME%2CB25070_001E%2CB25070_007E%2CB25070_008E%2CB25070_009E%2CB25070_010E&for=state%3A%2A
Illinois,17,2020,0.4369558575287481,0.4369558575287481,,acs5_B25070,https://api.census.gov/data/2020/acs/acs5?get=NAME%2CB25070_001E%2CB25070_007E%2CB25070_008E%2CB25070_009E%2CB25070_010E&for=state%3A%2A
