entity,state,year,housing_cost_burden,rent_burden_share,median_gross_rent
Alabama,01,2021,0.4341134310335178,0.4341134310335178,
Alaska,02,2021,0.44992569261140564,0.44992569261140564,
Arizona,04,2021,0.4785835600246921,0.4785835600246921,
Arkansas,05,2021,0.39943220944252594,0.39943220944252594,
California,06,2021,0.5271607835977482,0.5271607835977482,
Colorado,08,2021,0.5045154660417392,0.5045154660417392,
Connecticut,09,2021,0.4914565318154267,0.4914565318154267,
Delaware,10,2021,0.4702934266893915,0.4702934266893915,
District of Columbia,11,2021,0.45141966146740325,0.45141966146740325,
Florida,12,2021,0.5489939133548156,0.5489939133548156,
Georgia,13,2021,0.47584333284522323,0.47584333284522323,
Hawaii,15,2021,0.5342452310728518,0.5342452310728518,
Idaho,16,2021,0.4316701707604738,0.4316701707604738,
Illinois,17,2021,0.4437580313722442,0.4437580313722442,
Indiana,18,2021,0.43261297420774475,0.43261297420774475,
Iowa,19,2021,0.4120337424320389,0.4120337424320389,
Kansas,20,2021,0.3972941724258801,0.3972941724258801,
Kentucky,21,2021,0.4061134278863506,0.4061134278863506,
Louisiana,22,2021,0.48382028561921325,0.48382028561921325,
Maine,23,2021,0.4294922855517253,0.4294922855517253,
Maryland,24,2021,0.49264831019975225,0.49264831019975225,
Massachusetts,25,2021,0.4854384594651489,0.4854384594651489,
Michigan,26,2021,0.46129765415481677,0.46129765415481677,
Minnesota,27,2021,0.4551086808284031,0.4551086808284031,
Mississippi,28,2021,0.4432085898704688,0.4432085898704688,
Missouri,29,2021,0.4218243389760963,0.4218243389760963,
Montana,30,2021,0.3793110994397759,0.3793110994397759,
Nebraska,31,2021,0.4266416732438832,0.4266416732438832,
Nevada,32,2021,0.5208264863443652,0.5208264863443652,
New Hampshire,33,2021,0.42559399473478293,0.42559399473478293,
New Jersey,34,2021,0.48907966530947306,0.48907966530947306,
New Mexico,35,2021,0.442907758190162,0.442907758190162,
New York,36,2021,0.5032553332538481,0.5032553332538481,
North Carolina,37,2021,0.4445861582869034,0.4445861582869034,
North Dakota,38,2021,0.3845009330710647,0.3845009330710647,
Ohio,39,2021,0.4062281743480355,0.4062281743480355,
Oklahoma,40,2021,0.4197442570160822,0.4197442570160822,
Oregon,41,2021,0.4855336547896505,0.4855336547896505,
Pennsylvania,42,2021,0.44203418692466584,0.44203418692466584,
Rhode Island,44,2021,0.4583758448191639,0.4583758448191639,
South Carolina,45,2021,0.44868458342837786,0.44868458342837786,
South Dakota,46,2021,0.3500096103682144,0.3500096103682144,
Tennessee,47,2021,0.43883112978435657,0.43883112978435657,
Texas,48,2021,0.47503608826725513,0.47503608826725513,
Utah,49,2021,0.4530211104346548,0.4530211104346548,
Vermont,50,2021,0.468404808317089,0.468404808317089,
Virginia,51,2021,0.4609016474704227,0.4609016474704227,
Washington,53,2021,0.46294587974133417,0.46294587974133417,
West Virginia,54,2021,0.4109957858592165,0.4109957858592165,
Wisconsin,55,2021,0.40585619309056237,0.40585619309056237,
Wyoming,56,2021,0.44034466885321366,0.44034466885321366,
Puerto Rico,72,2021,0.29120453606329033,0.29120453606329033,
