country,year,sex,age,death_rate
United States,2021,F,0,0.0050404188223183155
United States,2021,F,1,0.00038860965287312865
United States,2021,F,2,0.0002335388562642038
United States,2021,F,3,0.00015820088447071612
United States,2021,F,4,0.00014692246622871608
United States,2021,F,5,0.00012407802569214255
United States,2021,F,6,0.00010946136899292469
United States,2021,F,7,9.997986489906907e-05
United States,2021,F,8,9.446238982491195e-05
United States,2021,F,9,9.29005109355785e-05
United States,2021,F,10,9.64411738095805e-05
United States,2021,F,11,0.0001072037557605654
United States,2021,F,12,0.000127751991385594
United States,2021,F,13,0.00015957391588017344
United States,2021,F,14,0.00020073178166057914
United States,2021,F,15,0.00024748616851866245
United States,2021,F,16,0.0002969596243929118
United States,2021,F,17,0.0003493443946354091
United States,2021,F,18,0.00040348529000766575
United States,2021,F,19,0.0004591793694999069
United States,2021,F,20,0.0005201785825192928
United States,2021,F,21,0.0005835910560563207
United States,2021,F,22,0.0006414749659597874
United States,2021,F,23,0.0006902317982167006
United States,2021,F,24,0.0007331002852879465
United States,2021,F,25,0.000773690000642091
United States,2021,F,26,0.0008195728296414018
United States,2021,F,27,0.0008758690091781318
United States,2021,F,28,0.0009461396839469671
United States,2021,F,29,0.0010264342417940497
United States,2021,F,30,0.0011109196348115802
United States,2021,F,31,0.0011938654351979494
United States,2021,F,32,0.0012750470777973533
United States,2021,F,33,0.0013537678169086576
United States,2021,F,34,0.0014331226702779531
United States,2021,F,35,0.0015180993359535933
United States,2021,F,36,0.001610698876902461
United States,2021,F,37,0.0017091871704906225
United States,2021,F,38,0.0018135621212422848
United States,2021,F,39,0.0019245431758463383
United States,2021,F,40,0.002048463560640812
United States,2021,F,41,0.002183071104809642
United States,2021,F,42,0.0023209145292639732
United States,2021,F,43,0.0024612669367343187
United States,2021,F,44,0.002611197531223297
United States,2021,F,45,0.0027838246896862984
United States,2021,F,46,0.0029840953648090363
United States,2021,F,47,0.003203482134267688
United States,2021,F,48,0.0034355020616203547
United States,2021,F,49,0.0036798054352402687
United States,2021,F,50,0.0039350236766040325
United States,2021,F,51,0.00421734107658267
United States,2021,F,52,0.004544211085885763
United States,2021,F,53,0.004927776288241148
United States,2021,F,54,0.005361374467611313
United States,2021,F,55,0.005809030029922724
United States,2021,F,56,0.006273764651268721
United States,2021,F,57,0.006795171182602644
United States,2021,F,58,0.007382660638540983
United States,2021,F,59,0.008019533008337021
United States,2021,F,60,0.008702823892235756
United States,2021,F,61,0.00939551554620266
United States,2021,F,62,0.010065809823572636
United States,2021,F,63,0.010706065222620964
United States,2021,F,64,0.0113544762134552
United States,2021,F,65,0.01204089168459177
United States,2021,F,66,0.012879956513643265
United States,2021,F,67,0.013820887543261051
United States,2021,F,68,0.014915267936885357
United States,2021,F,69,0.01618753932416439
United States,2021,F,70,0.01747533679008484
United States,2021,F,71,0.018963683396577835
United States,2021,F,72,0.02061554603278637
United States,2021,F,73,0.02260308712720871
United States,2021,F,74,0.02464723028242588
United States,2021,F,75,0.02793286368250847
United States,2021,F,76,0.0309222973883152
United States,2021,F,77,0.03453625738620758
United States,2021,F,78,0.03785700723528862
United States,2021,F,79,0.04196703061461449
United States,2021,F,80,0.04633565992116928
United States,2021,F,81,0.051084406673908234
United States,2021,F,82,0.05660809949040413
United States,2021,F,83,0.06288070976734161
United States,2021,F,84,0.070582315325737
United States,2021,F,85,0.079149030148983
United States,2021,F,86,0.08787020295858383
United States,2021,F,87,0.09871180355548859
United States,2021,F,88,0.11063536256551743
United States,2021,F,89,0.12368553876876831
United States,2021,F,90,0.13789331912994385
United States,2021,F,91,0.15327244997024536
United States,2021,F,92,0.16981595754623413
United States,2021,F,93,0.1874929964542389
United States,2021,F,94,0.2062462717294693
United States,2021,F,95,0.22599062323570251
United States,2021,F,96,0.24661274254322052
United States,2021,F,97,0.26797235012054443
United States,2021,F,98,0.2899051606655121
United States,2021,F,99,0.3122272789478302
United States,2021,F,100,1.0
