country,year,sex,age,population
United States,2021,M,0,3572165.0
United States,2021,M,1,3697247.0
United States,2021,M,2,3756935.0
United States,2021,M,3,3832978.0
United States,2021,M,4,3894042.0
United States,2021,M,5,3982515.0
United States,2021,M,6,4010593.0
United States,2021,M,7,3997065.0
United States,2021,M,8,4006869.0
United States,2021,M,9,4020066.0
United States,2021,M,10,4079899.0
United States,2021,M,11,4174119.0
United States,2021,M,12,4251285.0
United States,2021,M,13,4388243.0
United States,2021,M,14,4383705.0
United States,2021,M,15,4323562.0
United States,2021,M,16,4311859.0
United States,2021,M,17,4337844.0
United States,2021,M,18,4307633.0
United States,2021,M,19,4384474.0
United States,2021,M,20,4658564.0
United States,2021,M,21,4685525.0
United States,2021,M,22,4542160.0
United States,2021,M,23,4412158.0
United States,2021,M,24,4307794.0
United States,2021,M,25,4292420.0
United States,2021,M,26,4331733.0
United States,2021,M,27,4372373.0
United States,2021,M,28,4427647.0
United States,2021,M,29,4513160.0
United States,2021,M,30,4608103.0
United States,2021,M,31,4654862.0
United States,2021,M,32,4526343.0
United States,2021,M,33,4460665.0
United States,2021,M,34,4415074.0
United States,2021,M,35,4448210.0
United States,2021,M,36,4440159.0
United States,2021,M,37,4322361.0
United States,2021,M,38,4379863.0
United States,2021,M,39,4354778.0
United States,2021,M,40,4320584.0
United States,2021,M,41,4317608.0
United States,2021,M,42,4113713.0
United States,2021,M,43,4015267.0
United States,2021,M,44,3972331.0
United States,2021,M,45,3851297.0
United States,2021,M,46,3899633.0
United States,2021,M,47,3810502.0
United States,2021,M,48,3877568.0
United States,2021,M,49,4042660.0
United States,2021,M,50,4293737.0
United States,2021,M,51,4260472.0
United States,2021,M,52,4104323.0
United States,2021,M,53,4008471.0
United States,2021,M,54,4015778.0
United States,2021,M,55,4104683.0
United States,2021,M,56,4280358.0
United States,2021,M,57,4380463.0
United States,2021,M,58,4381528.0
United States,2021,M,59,4362599.0
United States,2021,M,60,4399164.0
United States,2021,M,61,4343170.0
United States,2021,M,62,4251638.0
United States,2021,M,63,4219071.0
United States,2021,M,64,4158738.0
United States,2021,M,65,3991717.0
United States,2021,M,66,3910508.0
United States,2021,M,67,3754519.0
United States,2021,M,68,3601476.0
United States,2021,M,69,3442703.0
United States,2021,M,70,3310312.0
United States,2021,M,71,3162119.0
United States,2021,M,72,3059654.0
United States,2021,M,73,2985237.0
United States,2021,M,74,3073559.0
United States,2021,M,75,2232858.0
United States,2021,M,76,2138495.0
United States,2021,M,77,2057589.0
United States,2021,M,78,2066779.0
United States,2021,M,79,1756828.0
United States,2021,M,80,1567101.0
United States,2021,M,81,1423331.0
United States,2021,M,82,1304871.0
United States,2021,M,83,1201974.0
United States,2021,M,84,1059406.0
United States,2021,M,85,960586.0
United States,2021,M,86,874583.0
United States,2021,M,87,736012.0
United States,2021,M,88,666774.0
United States,2021,M,89,588556.0
United States,2021,M,90,515175.0
United States,2021,M,91,448559.0
United States,2021,M,92,363436.0
United States,2021,M,93,302898.0
United States,2021,M,94,243210.0
United States,2021,M,95,187030.0
United States,2021,M,96,144205.0
United States,2021,M,97,105474.0
United States,2021,M,98,75311.0
United States,2021,M,99,50319.0
United States,2021,M,100,84596.0
United States,2021,F,0,1827405.0
United States,2021,F,1,1889646.0
United States,2021,F,2,1917854.0
United States,2021,F,3,1957994.0
United States,2021,F,4,1990327.0
United States,2021,F,5,2034615.0
United States,2021,F,6,2049221.0
United States,2021,F,7,2043701.0
United States,2021,F,8,2047028.0
United States,2021,F,9,2055456.0
United States,2021,F,10,2087925.0
United States,2021,F,11,2134794.0
United States,2021,F,12,2174616.0
United States,2021,F,13,2243315.0
United States,2021,F,14,2243732.0
United States,2021,F,15,2213336.0
United States,2021,F,16,2209050.0
United States,2021,F,17,2223869.0
United States,2021,F,18,2207421.0
United States,2021,F,19,2230241.0
United States,2021,F,20,2357693.0
United States,2021,F,21,2374430.0
United States,2021,F,22,2305444.0
United States,2021,F,23,2241940.0
United States,2021,F,24,2189384.0
United States,2021,F,25,2179317.0
United States,2021,F,26,2193631.0
United States,2021,F,27,2207529.0
United States,2021,F,28,2229260.0
United States,2021,F,29,2266304.0
United States,2021,F,30,2307671.0
United States,2021,F,31,2326881.0
United States,2021,F,32,2259675.0
