entity,state,year,births_15_44,source_url,source_table
Alabama,01,2007,64804,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_24.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Alaska,02,2007,11052,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_24.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Arizona,04,2007,102981,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_24.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Arkansas,05,2007,41378,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_24.pdf,"NCHS final births by race and Hispanic origin, state of residence"
California,06,2007,566414,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_24.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Colorado,08,2007,70809,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_24.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Connecticut,09,2007,41660,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_24.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Delaware,10,2007,12170,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_24.pdf,"NCHS final births by race and Hispanic origin, state of residence"
District of Columbia,11,2007,8864,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_24.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Florida,12,2007,239165,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_24.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Georgia,13,2007,151137,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_24.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Hawaii,15,2007,19134,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_24.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Idaho,16,2007,25019,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_24.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Illinois,17,2007,180836,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_24.pdf,"NCHS final births by race and Hispanic origin, state of residence"
