entity,code,year,indicator,value
China,CHN,1990,SP.POP.0014.FE.IN,157328589.0
China,CHN,1990,SP.POP.0014.MA.IN,169580425.0
China,CHN,1990,SP.POP.1564.FE.IN,365238195.0
China,CHN,1990,SP.POP.1564.MA.IN,382360365.0
China,CHN,1990,SP.POP.65UP.FE.IN,34265376.0
China,CHN,1990,SP.POP.65UP.MA.IN,26412050.0
China,CHN,1991,SP.POP.0014.FE.IN,158376681.0
China,CHN,1991,SP.POP.0014.MA.IN,171315275.0
China,CHN,1991,SP.POP.1564.FE.IN,370598296.0
China,CHN,1991,SP.POP.1564.MA.IN,387741122.0
China,CHN,1991,SP.POP.65UP.FE.IN,35297875.0
China,CHN,1991,SP.POP.65UP.MA.IN,27450751.0
China,CHN,1992,SP.POP.0014.FE.IN,158658986.0
China,CHN,1992,SP.POP.0014.MA.IN,172214494.0
China,CHN,1992,SP.POP.1564.FE.IN,375995200.0
China,CHN,1992,SP.POP.1564.MA.IN,393135394.0
China,CHN,1992,SP.POP.65UP.FE.IN,36399816.0
China,CHN,1992,SP.POP.65UP.MA.IN,28566111.0
China,CHN,1993,SP.POP.0014.FE.IN,158787910.0
China,CHN,1993,SP.POP.0014.MA.IN,172970219.0
China,CHN,1993,SP.POP.1564.FE.IN,381038385.0
China,CHN,1993,SP.POP.1564.MA.IN,398159767.0
China,CHN,1993,SP.POP.65UP.FE.IN,37662188.0
China,CHN,1993,SP.POP.65UP.MA.IN,29821530.0
China,CHN,1994,SP.POP.0014.FE.IN,158467030.0
China,CHN,1994,SP.POP.0014.MA.IN,173277786.0
China,CHN,1994,SP.POP.1564.FE.IN,386412300.0
China,CHN,1994,SP.POP.1564.MA.IN,403534425.0
China,CHN,1994,SP.POP.65UP.FE.IN,39015238.0
China,CHN,1994,SP.POP.65UP.MA.IN,31128221.0
China,CHN,1995,SP.POP.0014.FE.IN,157558043.0
China,CHN,1995,SP.POP.0014.MA.IN,172981619.0
China,CHN,1995,SP.POP.1564.FE.IN,392132558.0
China,CHN,1995,SP.POP.1564.MA.IN,409252019.0
China,CHN,1995,SP.POP.65UP.FE.IN,40435116.0
China,CHN,1995,SP.POP.65UP.MA.IN,32495644.0
China,CHN,1996,SP.POP.0014.FE.IN,156067808.0
China,CHN,1996,SP.POP.0014.MA.IN,172074780.0
China,CHN,1996,SP.POP.1564.FE.IN,398248213.0
China,CHN,1996,SP.POP.1564.MA.IN,415366127.0
China,CHN,1996,SP.POP.65UP.FE.IN,41889664.0
China,CHN,1996,SP.POP.65UP.MA.IN,33903408.0
China,CHN,1997,SP.POP.0014.FE.IN,153725372.0
China,CHN,1997,SP.POP.0014.MA.IN,170257851.0
China,CHN,1997,SP.POP.1564.FE.IN,405088386.0
China,CHN,1997,SP.POP.1564.MA.IN,422265440.0
China,CHN,1997,SP.POP.65UP.FE.IN,43389428.0
China,CHN,1997,SP.POP.65UP.MA.IN,35348522.0
China,CHN,1998,SP.POP.0014.FE.IN,151286246.0
China,CHN,1998,SP.POP.0014.MA.IN,168325699.0
China,CHN,1998,SP.POP.1564.FE.IN,411539877.0
China,CHN,1998,SP.POP.1564.MA.IN,428778874.0
China,CHN,1998,SP.POP.65UP.FE.IN,45048737.0
China,CHN,1998,SP.POP.65UP.MA.IN,36955567.0
China,CHN,1999,SP.POP.0014.FE.IN,148912488.0
China,CHN,1999,SP.POP.0014.MA.IN,166439532.0
China,CHN,1999,SP.POP.1564.FE.IN,417352374.0
China,CHN,1999,SP.POP.1564.MA.IN,434662800.0
China,CHN,1999,SP.POP.65UP.FE.IN,46755003.0
China,CHN,1999,SP.POP.65UP.MA.IN,38612803.0
China,CHN,2000,SP.POP.0014.FE.IN,145973362.0
China,CHN,2000,SP.POP.0014.MA.IN,163931444.0
China,CHN,2000,SP.POP.1564.FE.IN,423328959.0
China,CHN,2000,SP.POP.1564.MA.IN,440805428.0
China,CHN,2000,SP.POP.65UP.FE.IN,48411622.0
China,CHN,2000,SP.POP.65UP.MA.IN,40194184.0
China,CHN,2001,SP.POP.0014.FE.IN,142248276.0
China,CHN,2001,SP.POP.0014.MA.IN,160533011.0
China,CHN,2001,SP.POP.1564.FE.IN,429811588.0
China,CHN,2001,SP.POP.1564.MA.IN,447512011.0
China,CHN,2001,SP.POP.65UP.FE.IN,50007120.0
China,CHN,2001,SP.POP.65UP.MA.IN,41737993.0
China,CHN,2002,SP.POP.0014.FE.IN,137555480.0
China,CHN,2002,SP.POP.0014.MA.IN,156018589.0
China,CHN,2002,SP.POP.1564.FE.IN,437045402.0
China,CHN,2002,SP.POP.1564.MA.IN,455010074.0
China,CHN,2002,SP.POP.65UP.FE.IN,51512266.0
China,CHN,2002,SP.POP.65UP.MA.IN,43258189.0
China,CHN,2003,SP.POP.0014.FE.IN,132718963.0
China,CHN,2003,SP.POP.0014.MA.IN,151282130.0
China,CHN,2003,SP.POP.1564.FE.IN,444246917.0
China,CHN,2003,SP.POP.1564.MA.IN,462496080.0
China,CHN,2003,SP.POP.65UP.FE.IN,52931890.0
China,CHN,2003,SP.POP.65UP.MA.IN,44724020.0
China,CHN,2004,SP.POP.0014.FE.IN,127993449.0
China,CHN,2004,SP.POP.0014.MA.IN,146598575.0
China,CHN,2004,SP.POP.1564.FE.IN,451295108.0
China,CHN,2004,SP.POP.1564.MA.IN,469907291.0
China,CHN,2004,SP.POP.65UP.FE.IN,54239449.0
China,CHN,2004,SP.POP.65UP.MA.IN,46041129.0
China,CHN,2005,SP.POP.0014.FE.IN,123017489.0
China,CHN,2005,SP.POP.0014.MA.IN,141565553.0
China,CHN,2005,SP.POP.1564.FE.IN,458583642.0
China,CHN,2005,SP.POP.1564.MA.IN,477694653.0
China,CHN,2005,SP.POP.65UP.FE.IN,55552814.0
China,CHN,2005,SP.POP.65UP.MA.IN,47305850.0
China,CHN,2006,SP.POP.0014.FE.IN,119157944.0
China,CHN,2006,SP.POP.0014.MA.IN,137699446.0
China,CHN,2006,SP.POP.1564.FE.IN,464501197.0
China,CHN,2006,SP.POP.1564.MA.IN,484073652.0
China,CHN,2006,SP.POP.65UP.FE.IN,56963063.0
China,CHN,2006,SP.POP.65UP.MA.IN,48624698.0
China,CHN,2007,SP.POP.0014.FE.IN,116986939.0
China,CHN,2007,SP.POP.0014.MA.IN,135652293.0
China,CHN,2007,SP.POP.1564.FE.IN,468532529.0
China,CHN,2007,SP.POP.1564.MA.IN,488480796.0
China,CHN,2007,SP.POP.65UP.FE.IN,58348040.0
China,CHN,2007,SP.POP.65UP.MA.IN,49884402.0
China,CHN,2008,SP.POP.0014.FE.IN,115551567.0
China,CHN,2008,SP.POP.0014.MA.IN,134367581.0
China,CHN,2008,SP.POP.1564.FE.IN,471866968.0
China,CHN,2008,SP.POP.1564.MA.IN,492189284.0
China,CHN,2008,SP.POP.65UP.FE.IN,59646286.0
China,CHN,2008,SP.POP.65UP.MA.IN,51033314.0
China,CHN,2009,SP.POP.0014.FE.IN,114629596.0
China,CHN,2009,SP.POP.0014.MA.IN,133592500.0
China,CHN,2009,SP.POP.1564.FE.IN,474608187.0
China,CHN,2009,SP.POP.1564.MA.IN,495296860.0
