year,population,households,births,deaths,migrations,mean_age,child_share,working_age_share,senior_share,tertiary_share,top_income_share,region_east,region_central,region_rural
2025,2000,806,0,0,0,35.215,0.2485,0.6535,0.098,0.43623,0.1604,717,713,570
2026,2013,811,16,3,17,35.923,0.23994,0.65623,0.10383,0.43718,0.18984,730,714,569
2027,2027,810,14,0,11,36.667,0.2294,0.66354,0.10705,0.43655,0.21399,724,732,571
2028,2038,811,15,4,17,37.32,0.22277,0.66634,0.11089,0.43709,0.23303,727,744,567
2029,2047,811,12,3,15,38.083,0.21397,0.66927,0.11676,0.43773,0.25956,735,741,571
2030,2055,816,10,2,12,38.877,0.19854,0.67883,0.12263,0.43777,0.28629,738,746,571
2031,2065,819,11,1,12,39.684,0.18935,0.68475,0.12591,0.43153,0.29794,741,751,573
2032,2070,825,9,4,30,40.465,0.17971,0.68792,0.13237,0.43209,0.30775,741,743,586
2033,2076,830,8,2,10,41.33,0.16426,0.69461,0.14114,0.42996,0.31981,737,749,590
2034,2081,844,6,1,21,42.198,0.15281,0.69582,0.15137,0.43023,0.32659,735,752,594
2035,2085,853,4,0,10,43.115,0.13621,0.70312,0.16067,0.43078,0.33002,737,750,598
2036,2096,867,11,0,6,43.884,0.12357,0.70849,0.16794,0.43281,0.34195,739,757,600
2037,2102,876,7,1,13,44.743,0.11132,0.71075,0.17793,0.43641,0.34065,743,757,602
2038,2109,889,11,4,9,45.434,0.09199,0.71693,0.19109,0.43403,0.33786,743,762,604
2039,2117,896,9,1,15,46.237,0.08266,0.71611,0.20123,0.43197,0.34035,744,759,614
2040,2125,912,9,1,10,47.021,0.07106,0.71153,0.21741,0.43635,0.34234,753,756,616
2041,2137,923,14,2,10,47.663,0.06972,0.69911,0.23117,0.43761,0.33433,752,761,624
2042,2152,939,16,1,16,48.306,0.07017,0.68634,0.24349,0.43891,0.33333,745,779,628
2043,2166,957,15,1,12,48.943,0.06971,0.6759,0.25439,0.43877,0.33137,752,775,639
2044,2177,975,16,5,23,49.543,0.0712,0.65916,0.26964,0.43904,0.33309,767,765,645
2045,2192,993,17,2,16,50.123,0.07391,0.6396,0.2865,0.43915,0.33333,768,768,656
2046,2204,1007,15,3,13,50.773,0.07577,0.61797,0.30626,0.43998,0.32744,769,779,656
2047,2218,1014,15,1,11,51.408,0.078,0.59513,0.32687,0.44071,0.32516,778,784,656
2048,2235,1027,19,2,24,51.966,0.08188,0.57539,0.34273,0.44122,0.32013,775,803,657
2049,2249,1044,18,4,17,52.48,0.08671,0.55313,0.36016,0.443,0.32057,784,804,661
2050,2270,1054,23,2,16,52.897,0.09427,0.52511,0.38062,0.44467,0.32468,791,817,662
2051,2282,1059,16,4,19,53.453,0.09597,0.50745,0.39658,0.44654,0.31786,802,820,660
2052,2299,1068,19,2,14,53.963,0.10048,0.48543,0.41409,0.44636,0.31944,812,820,667
2053,2308,1073,15,6,9,54.497,0.10182,0.4662,0.43198,0.44484,0.31533,819,817,672
2054,2320,1076,16,4,18,55.095,0.10431,0.43836,0.45733,0.44456,0.30154,814,822,684
2055,2330,1084,13,3,11,55.733,0.10558,0.41674,0.47768,0.444,0.30519,822,821,687
2056,2341,1089,19,8,21,56.139,0.10722,0.4041,0.48868,0.44605,0.29464,825,826,690
2057,2340,1090,6,7,11,56.885,0.10299,0.39701,0.5,0.44561,0.28966,824,830,686
2058,2353,1092,19,6,19,57.324,0.10412,0.38462,0.51126,0.44516,0.2981,823,848,682
2059,2359,1093,12,6,12,57.917,0.10216,0.38025,0.51759,0.44516,0.30109,824,845,690
2060,2356,1093,10,13,13,58.456,0.09932,0.37946,0.52122,0.44216,0.28676,823,846,687
2061,2360,1094,14,10,18,58.979,0.09831,0.37712,0.52458,0.44322,0.28853,830,849,681
2062,2361,1093,8,7,14,59.639,0.0953,0.37738,0.52732,0.44272,0.29028,836,850,675
2063,2360,1093,10,11,21,60.163,0.09195,0.38136,0.52669,0.44172,0.29182,841,844,675
2064,2352,1089,4,12,15,60.847,0.08631,0.38648,0.52721,0.44038,0.30387,846,832,674
2065,2343,1091,6,15,9,61.503,0.07939,0.39607,0.52454,0.4402,0.30513,842,833,668
2066,2336,1093,5,12,5,62.216,0.07491,0.40411,0.52098,0.44026,0.30796,846,830,660
2067,2333,1096,6,9,17,62.897,0.06944,0.41192,0.51865,0.43722,0.31373,840,831,662
2068,2322,1097,2,13,19,63.612,0.06417,0.42033,0.5155,0.43728,0.32429,831,829,662
2069,2319,1097,9,12,14,64.202,0.0608,0.42691,0.51229,0.43669,0.31853,838,820,661
2070,2303,1097,5,21,15,64.767,0.05775,0.43118,0.51107,0.44006,0.314,834,813,656
2071,2291,1093,4,16,37,65.344,0.05151,0.433,0.5155,0.43928,0.31209,818,825,648
2072,2282,1099,6,15,13,65.931,0.05171,0.42726,0.52103,0.43728,0.31457,811,817,654
2073,2275,1101,9,16,13,66.381,0.04791,0.42725,0.52484,0.43884,0.30778,802,823,650
2074,2254,1098,6,27,18,66.733,0.0457,0.42724,0.52706,0.43932,0.31173,795,823,636
2075,2255,1100,12,11,5,67.178,0.04656,0.4204,0.53304,0.44167,0.31144,796,820,639
