year,country,policy,population,households,living_clans,births,deaths,migrants,mean_children_per_completed_family,mean_child_investment,upward_mobility_rate,high_status_share,median_household_resources,bottom_clan_extinction_share,below_deadline_share,occupational_persistence_rate,precarious_inheritance_rate,fertility_realization_gap,political_occupation_share,medical_occupation_share,precarious_occupation_share,unemployment_rate,injury_rate,homeownership_rate,licensed_physician_share,state_sector_share,political_dynasty_share,faction_concentration,elite_marriage_share
1970,CHN,无专项生育限制,1373,300,300,0,0,0,0.0,0.0,0.0,0.00167,80.1192,0.0,0.06346,0.0,0.0,1.99503,0.0,0.02167,0.14333,0.0,0.0,0.53,0.02167,0.095,0.0,0,0.0
1970,IND,国家家庭福利/计划生育项目（简化）,1383,300,300,0,0,0,0.0,0.0,0.0,0.00333,67.3484,0.0,0.0035,0.0,0.0,2.34068,0.0,0.03333,0.16667,0.0,0.0,0.76,0.03333,0.105,0.0,0,0.0
1970,JPN,无专项生育限制,374,120,120,0,0,0,0.0,0.0,0.0,0.04167,167.5485,0.0,0.00877,0.0,0.0,0.46508,0.0,0.05833,0.08333,0.0,0.0,0.575,0.05833,0.15417,0.0,0,0.01667
1970,USA,无专项生育限制,660,200,200,0,0,0,0.0,0.0,0.0,0.035,178.5579,0.0,0.04199,0.0,0.0,0.44132,0.0,0.035,0.095,0.0,0.0,0.59,0.035,0.1475,0.0,0,0.005
1971,CHN,晚、稀、少,1410,300,300,40,3,0,0.0,6.2391,0.0,0.00167,74.5921,0.0,0.13865,0.0,0.0,1.87408,0.0,0.02167,0.13333,0.04,0.00167,0.53,0.02167,0.09333,0.0,0,0.0
1971,IND,国家家庭福利/计划生育项目（简化）,1434,300,300,52,1,0,0.0,4.3855,0.0,0.00334,64.1639,0.0,0.03559,0.0,0.0,2.19105,0.0,0.03339,0.15693,0.03005,0.00167,0.76,0.03339,0.10184,0.0,0,0.0
1971,JPN,无专项生育限制,377,120,120,3,0,0,0.0,40.2413,0.0,0.04167,176.1887,0.0,0.03556,0.0,0.0,0.43325,0.0,0.05833,0.08333,0.02917,0.0,0.575,0.05833,0.15417,0.0,0,0.01667
1971,USA,无专项生育限制,669,200,200,9,0,0,0.0,30.9145,0.0,0.035,190.3526,0.0,0.07588,0.0,0.0,0.39119,0.0,0.035,0.09,0.02,0.0025,0.59,0.035,0.145,0.0,0,0.005
1972,CHN,晚、稀、少,1438,299,300,37,3,6,0.0,5.7357,0.0,0.00167,66.9547,0.0,0.16071,0.0,0.0,1.76632,0.0,0.02174,0.1388,0.04181,0.00167,0.53177,0.02174,0.0903,0.0,0,0.0
1972,IND,国家家庭福利/计划生育项目（简化）,1479,299,300,51,3,15,0.0,3.9223,0.0,0.00335,59.7194,0.0,0.06486,0.0,0.0,2.04434,0.0,0.0335,0.14908,0.04355,0.00335,0.7592,0.0335,0.1005,0.0,0,0.0
1972,JPN,无专项生育限制,380,121,120,2,1,2,0.0,39.4384,0.0,0.04132,179.0433,0.0,0.03167,0.0,0.0,0.41192,0.0,0.05785,0.07851,0.03719,0.00413,0.57025,0.05785,0.15702,0.0,0,0.01653
1972,USA,无专项生育限制,677,201,200,3,2,11,0.0,30.7664,0.0,0.0325,197.3865,0.0,0.08683,0.0,0.0,0.36136,0.0,0.035,0.085,0.03,0.01,0.59204,0.035,0.1375,0.0,0,0.00503
