clan_id,surname,origin_country,founder_resources,branches_created,total_births,living_members,peak_living_members,extinct,dominant_occupation,political_share,medical_share,precarious_share
1,赵,CHN,13.6453,2,6,1,8,0,routine,0.0,0.0,0.0
2,钱,CHN,48.8297,7,10,6,10,0,skilled,0.0,0.0,0.0
3,孙,CHN,49.088,1,4,0,6,1,none,0.0,0.0,0.0
4,李,CHN,167.2322,1,3,0,5,1,none,0.0,0.0,0.0
5,周,CHN,64.5938,4,7,3,9,0,routine,0.0,0.0,0.0
6,吴,CHN,55.2985,8,14,10,12,0,routine,0.0,0.11111,0.11111
7,郑,CHN,23.1462,3,4,0,6,1,none,0.0,0.0,0.0
8,王,CHN,95.4829,2,5,0,6,1,none,0.0,0.0,0.0
9,冯,CHN,335.5914,2,5,0,7,1,none,0.0,0.0,0.0
10,陈,CHN,81.7451,7,11,7,8,0,dependent,0.0,0.0,0.0
11,褚,CHN,27.7606,5,10,5,11,0,routine,0.0,0.0,0.2
12,卫,CHN,264.7339,2,5,1,6,0,routine,0.0,0.0,0.0
13,蒋,CHN,261.2811,7,10,8,9,0,precarious,0.0,0.0,0.28571
14,沈,CHN,73.563,1,3,0,5,1,none,0.0,0.0,0.0
15,韩,CHN,166.1948,1,1,0,3,1,none,0.0,0.0,0.0
16,杨,CHN,87.2726,2,4,0,6,1,none,0.0,0.0,0.0
17,朱,CHN,49.836,5,11,6,10,0,routine,0.0,0.0,0.0
18,秦,CHN,131.9846,1,1,0,3,1,none,0.0,0.0,0.0
19,尤,CHN,366.4786,11,15,9,12,0,routine,0.0,0.0,0.125
20,许,CHN,16.6027,5,8,3,10,0,precarious,0.0,0.0,0.66667
21,何,CHN,26.4111,3,5,2,7,0,unemployed,0.0,0.0,0.0
22,吕,CHN,134.6289,7,14,10,13,0,public_service,0.0,0.0,0.125
23,施,CHN,160.8629,1,4,0,6,1,none,0.0,0.0,0.0
24,张,CHN,351.177,6,12,5,10,0,routine,0.0,0.0,0.2
25,孔,CHN,133.9199,7,12,6,11,0,precarious,0.0,0.0,0.33333
26,曹,CHN,40.4425,4,7,1,9,0,dependent,0.0,0.0,0.0
27,严,CHN,79.1829,2,3,2,5,0,skilled,0.0,0.0,0.0
28,华,CHN,191.2983,10,17,10,17,0,skilled,0.0,0.0,0.1
29,金,CHN,65.2317,5,8,3,9,0,routine,0.0,0.0,0.0
30,魏,CHN,45.1443,3,6,2,7,0,skilled,0.0,0.0,0.0
31,陶,CHN,112.2324,8,15,11,15,0,precarious,0.0,0.0,0.36364
32,姜,CHN,146.5281,10,14,7,13,0,skilled,0.0,0.14286,0.14286
