year,population,households,births,deaths,migrations,mean_age,child_share,working_age_share,senior_share,tertiary_share,top_income_share,region_east,region_central,region_rural
2025,2000,806,0,0,0,35.215,0.2485,0.6535,0.098,0.43623,0.1604,717,713,570
2026,2006,808,6,0,6,36.106,0.23579,0.66002,0.10419,0.43623,0.18937,713,717,576
2027,2010,811,7,3,0,36.927,0.22289,0.67015,0.10697,0.43582,0.21364,714,721,575
2028,2017,813,10,3,9,37.72,0.21418,0.67377,0.11205,0.43573,0.24428,713,725,579
2029,2027,817,10,0,10,38.529,0.20474,0.67686,0.1184,0.43573,0.25995,712,733,582
2030,2037,821,11,1,4,39.318,0.18949,0.68581,0.12469,0.43723,0.27939,715,743,579
2031,2038,828,2,1,5,40.258,0.17713,0.6948,0.12807,0.4306,0.29351,718,741,579
2032,2042,831,6,2,3,41.125,0.16601,0.69931,0.13467,0.43158,0.30156,717,745,580
2033,2046,839,5,1,10,42.015,0.14956,0.70674,0.1437,0.43322,0.31104,713,748,585
2034,2045,843,1,2,11,42.958,0.13594,0.71051,0.15355,0.43306,0.32146,709,750,586
2035,2047,853,2,0,6,43.915,0.11822,0.71861,0.16317,0.43154,0.33181,711,754,582
2036,2051,864,5,1,5,44.82,0.10239,0.72599,0.17162,0.42895,0.3447,710,761,580
2037,2054,871,4,1,0,45.744,0.08861,0.7298,0.1816,0.42912,0.34137,710,763,581
2038,2055,881,4,3,0,46.597,0.06521,0.73869,0.19611,0.43175,0.33283,711,762,582
2039,2057,892,4,2,5,47.489,0.05348,0.73991,0.20661,0.43,0.34057,710,765,582
2040,2062,906,5,0,8,48.371,0.03977,0.73618,0.22405,0.42683,0.33907,713,769,580
2041,2065,917,5,2,5,49.224,0.03923,0.72203,0.23874,0.42583,0.33582,717,764,584
2042,2068,929,6,3,9,50.048,0.03868,0.70938,0.25193,0.42544,0.33408,720,767,581
2043,2072,945,9,5,3,50.732,0.03813,0.69884,0.26303,0.42625,0.32551,720,770,582
2044,2080,956,10,2,2,51.479,0.03798,0.68221,0.27981,0.42824,0.32151,720,774,586
2045,2086,973,8,2,8,52.246,0.03643,0.66539,0.29818,0.42713,0.31994,715,778,593
2046,2098,986,15,3,2,52.821,0.04242,0.63823,0.31935,0.42574,0.3241,718,781,599
2047,2108,995,15,5,6,53.401,0.04649,0.6129,0.34061,0.42385,0.32562,732,783,593
2048,2113,1010,10,5,11,54.083,0.04875,0.593,0.35826,0.42706,0.33142,738,783,592
2049,2124,1019,14,3,5,54.677,0.05461,0.56733,0.37806,0.42775,0.33898,738,789,597
2050,2123,1027,4,5,7,55.458,0.05558,0.54216,0.40226,0.42828,0.33304,737,790,596
2051,2130,1032,10,3,5,56.15,0.05775,0.52019,0.42207,0.42864,0.32966,732,795,603
2052,2136,1040,10,4,10,56.825,0.06039,0.49672,0.44288,0.42952,0.3295,739,792,605
2053,2146,1047,14,4,3,57.459,0.06431,0.47251,0.46319,0.43003,0.33166,738,799,609
2054,2146,1048,9,9,7,58.073,0.06664,0.44315,0.49021,0.43083,0.32403,738,794,614
2055,2148,1054,11,9,8,58.577,0.06937,0.41899,0.51164,0.43141,0.31549,740,788,620
2056,2151,1056,12,9,12,59.117,0.07252,0.40214,0.52534,0.43142,0.32147,745,782,624
2057,2152,1056,10,9,6,59.644,0.07435,0.38941,0.53625,0.43004,0.31081,743,775,634
2058,2149,1058,3,6,1,60.473,0.07166,0.37599,0.55235,0.42923,0.30552,742,772,635
2059,2150,1061,8,7,12,61.15,0.0707,0.36884,0.56047,0.42953,0.30211,746,769,635
2060,2152,1063,7,5,3,61.911,0.07063,0.36245,0.56691,0.43071,0.30013,744,770,638
2061,2147,1065,4,9,4,62.675,0.06567,0.36143,0.57289,0.43108,0.31276,741,771,635
2062,2147,1062,11,11,6,63.151,0.06381,0.36237,0.57382,0.43005,0.32133,740,773,634
2063,2140,1064,3,10,5,63.888,0.06075,0.36402,0.57523,0.43035,0.32825,736,769,635
2064,2135,1062,4,9,7,64.61,0.05621,0.36721,0.57658,0.43095,0.32503,732,773,630
2065,2130,1061,4,9,4,65.339,0.05634,0.36854,0.57512,0.4329,0.326,734,766,630
2066,2127,1058,6,9,5,65.995,0.05454,0.3733,0.57217,0.43305,0.33558,734,765,628
2067,2114,1057,3,16,8,66.64,0.05156,0.37985,0.56859,0.43375,0.34437,720,765,629
2068,2100,1053,1,15,2,67.351,0.04571,0.38905,0.56524,0.43618,0.35033,714,760,626
2069,2094,1053,3,9,7,68.099,0.04298,0.39446,0.56256,0.43437,0.34146,708,760,626
2070,2073,1041,0,21,5,68.676,0.03811,0.39894,0.56295,0.43335,0.3467,697,755,621
2071,2059,1040,2,16,7,69.359,0.03351,0.39777,0.56872,0.43464,0.35518,690,747,622
2072,2051,1040,0,8,7,70.249,0.02877,0.39347,0.57777,0.43379,0.35286,683,750,618
2073,2038,1036,2,15,3,70.908,0.02846,0.38714,0.5844,0.43441,0.35887,681,741,616
2074,2026,1034,0,12,6,71.707,0.02468,0.38302,0.5923,0.43767,0.34973,675,738,613
2075,2012,1031,2,16,7,72.416,0.02237,0.37624,0.60139,0.43887,0.35286,672,730,610
