year,country,policy,population,households,living_clans,births,deaths,migrants,mean_children_per_completed_family,mean_child_investment,upward_mobility_rate,high_status_share,median_household_resources,bottom_clan_extinction_share
2000,ONE,严格一孩实验,846,300,300,0,0,0,0.0,0.0,0.0,0.03333,82.8299,0.0
2000,TWO,严格二孩实验,967,300,300,0,0,0,0.0,0.0,0.0,0.02,80.6148,0.0
2000,THREE,严格三孩实验,1061,300,300,0,0,0,0.0,0.0,0.0,0.01333,84.6696,0.0
2001,ONE,严格一孩实验,862,300,300,17,1,0,0.0,33.6818,0.0,0.03333,87.5089,0.0
2001,TWO,严格二孩实验,995,300,300,29,1,0,0.0,20.7091,0.0,0.02003,87.4808,0.0
2001,THREE,严格三孩实验,1091,300,300,32,2,0,0.0,19.9196,0.0,0.01333,88.9581,0.0
2002,ONE,严格一孩实验,875,300,300,13,0,0,0.0,34.1283,0.0,0.03333,92.1563,0.0
2002,TWO,严格二孩实验,1018,300,300,23,0,0,0.0,21.1587,0.0,0.02003,90.1495,0.0
2002,THREE,严格三孩实验,1118,300,300,29,2,0,0.0,19.5458,0.0,0.01333,93.9929,0.0
2003,ONE,严格一孩实验,878,300,300,3,0,0,0.0,35.4038,0.0,0.03333,96.5953,0.0
2003,TWO,严格二孩实验,1039,300,300,22,1,0,0.0,21.7043,0.0,0.02003,92.8873,0.0
2003,THREE,严格三孩实验,1141,300,300,25,2,0,0.0,19.6914,0.0,0.01333,98.0083,0.0
2004,ONE,严格一孩实验,882,300,300,4,0,0,0.0,36.2463,0.0,0.03333,100.9954,0.0
2004,TWO,严格二孩实验,1056,300,300,21,4,0,0.0,21.7117,0.0,0.02007,98.0973,0.0
2004,THREE,严格三孩实验,1157,300,300,17,1,0,0.0,19.3144,0.0,0.01333,101.5637,0.0
2005,ONE,严格一孩实验,882,300,300,2,2,0,0.0,37.2648,0.0,0.03333,108.6814,0.0
2005,TWO,严格二孩实验,1073,300,300,18,1,0,0.0,22.2861,0.0,0.02007,102.1989,0.0
2005,THREE,严格三孩实验,1172,300,300,16,1,0,0.0,19.2693,0.0,0.01336,102.9694,0.0
2006,ONE,严格一孩实验,886,301,300,4,0,0,0.0,38.6127,0.0,0.03306,113.7821,0.0
2006,TWO,严格二孩实验,1086,301,300,13,0,0,0.0,22.3163,0.11111,0.01977,106.2468,0.0
2006,THREE,严格三孩实验,1177,303,300,5,0,0,0.0,19.4709,0.08333,0.01309,103.5842,0.0
2007,ONE,严格一孩实验,888,302,300,2,0,0,1.0,39.5057,0.6,0.03443,119.0072,0.0
2007,TWO,严格二孩实验,1091,301,300,6,1,0,1.6,22.9316,0.5,0.02295,110.1597,0.0
2007,THREE,严格三孩实验,1186,304,300,10,1,0,1.7778,19.5915,0.27273,0.01286,106.3404,0.0
2008,ONE,严格一孩实验,889,302,300,2,1,0,0.9487,40.3336,0.16667,0.03409,121.734,0.0
2008,TWO,严格二孩实验,1097,307,300,6,0,0,1.4222,23.4798,0.4,0.0256,113.0634,0.0
2008,THREE,严格三孩实验,1194,306,300,8,0,0,1.8,19.8532,0.5,0.01582,108.0628,0.0
2009,ONE,严格一孩实验,890,304,300,1,0,0,0.9667,41.5367,0.42857,0.03371,125.4113,0.0
2009,TWO,严格二孩实验,1104,311,300,9,2,0,1.5088,23.472,0.5,0.02698,113.7927,0.0
2009,THREE,严格三孩实验,1200,311,300,6,0,0,1.8814,20.166,0.41667,0.01708,107.4563,0.0
2010,ONE,严格一孩实验,892,306,300,3,1,0,0.9506,42.024,0.5,0.03328,128.0682,0.0
2010,TWO,严格二孩实验,1109,316,300,5,0,0,1.5278,23.6937,0.35714,0.02795,117.2849,0.0
2010,THREE,严格三孩实验,1209,317,300,9,0,0,1.8778,20.5717,0.35,0.01807,109.5864,0.0
2011,ONE,严格一孩实验,894,311,300,3,1,0,0.95,42.5795,0.26667,0.03251,132.5761,0.0
2011,TWO,严格二孩实验,1118,323,300,11,2,0,1.5806,24.4143,0.22222,0.02723,116.7302,0.0
2011,THREE,严格三孩实验,1217,322,300,9,1,0,1.8598,20.9177,0.25,0.02059,112.7258,0.0
2012,ONE,严格一孩实验,895,316,300,2,1,0,0.9583,43.0463,0.35714,0.03338,134.5351,0.0
2012,TWO,严格二孩实验,1127,331,300,9,0,0,1.6161,24.8757,0.44444,0.03093,117.2059,0.0
2012,THREE,严格三孩实验,1223,332,300,6,0,0,1.9024,21.2036,0.3,0.02429,114.7239,0.0
2013,ONE,严格一孩实验,896,323,300,2,1,0,0.9627,43.9512,0.125,0.03453,140.6563,0.0
2013,TWO,严格二孩实验,1130,343,300,5,2,0,1.625,25.9869,0.47619,0.03863,118.848,0.0
2013,THREE,严格三孩实验,1233,346,300,11,1,0,1.9173,21.8283,0.4,0.02881,116.0095,0.0
2014,ONE,严格一孩实验,899,331,300,3,0,0,0.962,44.3874,0.29412,0.0366,143.8216,0.0
2014,TWO,严格二孩实验,1142,348,300,12,0,0,1.6169,26.8018,0.22727,0.03745,122.6083,0.0
2014,THREE,严格三孩实验,1240,356,300,7,0,0,1.9408,22.274,0.34375,0.03154,116.2205,0.0
2015,ONE,严格一孩实验,910,337,300,11,0,0,0.9659,44.7918,0.21053,0.03704,150.4802,0.0
2015,TWO,严格二孩实验,1157,355,300,16,1,0,1.6384,27.7255,0.5,0.04424,126.1569,0.0
2015,THREE,严格三孩实验,1255,373,300,15,0,0,1.9883,22.5839,0.31429,0.03141,115.3401,0.0
2016,ONE,严格一孩实验,914,348,300,6,2,0,0.9694,45.8675,0.53846,0.04677,152.8795,0.0
2016,TWO,严格二孩实验,1172,365,300,15,0,0,1.6545,28.6844,0.44444,0.04581,128.7865,0.0
2016,THREE,严格三孩实验,1271,388,300,17,1,0,1.9679,23.5846,0.37209,0.03576,119.8667,0.0
2017,ONE,严格一孩实验,918,355,300,4,0,0,0.9714,45.5939,0.46154,0.05,156.4748,0.0
2017,TWO,严格二孩实验,1179,378,300,9,2,0,1.6842,29.5563,0.38235,0.05276,130.6502,0.0
2017,THREE,严格三孩实验,1281,399,300,11,1,0,1.9778,24.6636,0.2619,0.03636,124.2383,0.0
2018,ONE,严格一孩实验,920,365,300,4,2,0,0.9747,45.6934,0.46667,0.05312,159.7557,0.0
2018,TWO,严格二孩实验,1195,385,300,17,1,0,1.7051,30.8745,0.51724,0.05697,134.004,0.0
2018,THREE,严格三孩实验,1290,414,300,11,2,0,2.0123,26.4597,0.39474,0.03708,123.812,0.0
2019,ONE,严格一孩实验,926,374,300,6,0,0,0.9766,46.538,0.7,0.05433,162.3743,0.0
2019,TWO,严格二孩实验,1211,400,300,16,0,0,1.7132,31.341,0.37931,0.05855,134.9321,0.0
2019,THREE,严格三孩实验,1303,433,300,13,0,0,2.0346,27.4857,0.2963,0.04025,126.0299,0.0
2020,ONE,严格一孩实验,933,379,300,7,0,0,0.9745,47.0486,0.5,0.06148,168.5972,0.0
2020,TWO,严格二孩实验,1224,419,300,15,2,0,1.7246,31.9751,0.43243,0.06187,137.5475,0.0
2020,THREE,严格三孩实验,1333,449,300,31,1,0,2.0429,28.0014,0.47059,0.04299,127.6812,0.0
2021,ONE,严格一孩实验,939,388,300,6,0,0,0.9765,47.7461,0.38889,0.0638,170.3358,0.0
2021,TWO,严格二孩实验,1241,436,300,19,2,0,1.7297,32.133,0.48,0.06353,138.7788,0.0
2021,THREE,严格三孩实验,1353,467,300,22,2,0,2.07,30.1004,0.26667,0.04706,128.4424,0.0
2022,ONE,严格一孩实验,948,398,300,9,0,0,0.9765,47.2559,0.43478,0.07041,176.9398,0.0
2022,TWO,严格二孩实验,1258,450,300,18,1,0,1.7297,31.8548,0.39474,0.06526,141.7952,0.0
2022,THREE,严格三孩实验,1382,483,300,30,1,0,2.07,30.9949,0.40625,0.05228,134.3868,0.0
2023,ONE,严格一孩实验,959,403,300,11,0,0,0.9765,47.7905,0.35294,0.07018,185.2361,0.0
2023,TWO,严格二孩实验,1274,465,300,18,2,0,1.7297,31.9818,0.41379,0.06646,143.4824,0.0
2023,THREE,严格三孩实验,1410,499,300,30,2,0,2.07,31.5648,0.55172,0.05365,137.6302,0.0
2024,ONE,严格一孩实验,965,414,300,7,1,0,0.9765,47.0894,0.38462,0.07258,191.8802,0.0
2024,TWO,严格二孩实验,1290,478,300,18,2,0,1.7297,32.2268,0.56522,0.07107,147.2875,0.0
2024,THREE,严格三孩实验,1431,513,300,22,1,0,2.07,31.4593,0.33333,0.05505,142.5311,0.0
2025,ONE,严格一孩实验,976,422,300,13,2,0,0.9765,47.6297,1.0,0.07488,194.7319,0.0
2025,TWO,严格二孩实验,1310,487,300,22,2,0,1.7297,32.4294,0.57143,0.07262,153.5764,0.0
2025,THREE,严格三孩实验,1454,532,300,24,1,0,2.07,31.2896,0.5,0.0583,145.2297,0.0
2026,ONE,严格一孩实验,983,426,300,7,0,0,0.9765,47.1749,0.5,0.07569,201.6681,0.0
2026,TWO,严格二孩实验,1322,501,300,14,2,0,1.7297,30.436,0.35,0.07329,158.9049,0.0
2026,THREE,严格三孩实验,1480,547,300,27,1,0,2.07,30.7988,0.3125,0.05841,148.2892,0.0
2027,ONE,严格一孩实验,987,430,300,6,2,0,0.9765,47.805,0.0,0.0756,209.34,0.0
2027,TWO,严格二孩实验,1339,522,300,17,0,0,1.7297,29.9761,0.29412,0.074,161.5982,0.0
2027,THREE,严格三孩实验,1499,560,300,19,0,0,2.07,30.1935,0.5,0.06191,152.6531,0.0
2028,ONE,严格一孩实验,996,433,300,10,1,0,0.9765,49.3402,0.5,0.07526,215.167,0.0
2028,TWO,严格二孩实验,1359,535,300,20,0,0,1.7297,30.2552,0.38462,0.07498,164.859,0.0
2028,THREE,严格三孩实验,1521,567,300,22,0,0,2.07,30.8828,0.6,0.0625,159.8535,0.0
2029,ONE,严格一孩实验,997,435,300,2,1,0,0.9767,50.9462,1.0,0.07631,223.7577,0.0
2029,TWO,严格二孩实验,1377,539,300,18,0,0,1.7285,30.6426,0.33333,0.07642,172.1031,0.0
2029,THREE,严格三孩实验,1533,571,300,16,4,0,2.0523,30.9418,0.5,0.06388,167.4064,0.0
2030,ONE,严格一孩实验,1000,435,300,4,1,0,0.9769,52.1152,1.0,0.07631,231.9402,0.0
2030,TWO,严格二孩实验,1400,544,300,23,0,0,1.727,31.8293,0.66667,0.07692,177.6284,0.0
2030,THREE,严格三孩实验,1543,579,300,12,2,0,2.0487,31.4466,0.375,0.06525,173.3905,0.0
2031,ONE,严格一孩实验,1000,436,300,1,1,0,0.977,53.7595,1.0,0.07622,239.8065,0.0
2031,TWO,严格二孩实验,1412,547,300,13,1,0,1.7308,32.3229,0.125,0.07728,184.5016,0.0
2031,THREE,严格三孩实验,1562,581,300,22,3,0,2.0385,32.0946,0.66667,0.06582,178.6195,0.0
2032,ONE,严格一孩实验,999,436,300,0,1,0,0.9773,55.0978,0.5,0.07614,244.7215,0.0
2032,TWO,严格二孩实验,1421,549,300,10,1,0,1.7316,33.6039,0.25,0.07798,188.7666,0.0
2032,THREE,严格三孩实验,1578,587,300,17,1,0,2.028,32.1691,0.11111,0.06622,184.3694,0.0
2033,ONE,严格一孩实验,1000,439,300,1,0,0,0.9776,56.5866,0.0,0.07596,248.8064,0.0
2033,TWO,严格二孩实验,1440,553,300,19,0,0,1.7281,34.4126,0.54545,0.07993,195.8133,0.0
2033,THREE,严格三孩实验,1589,590,300,15,4,0,2.0151,32.2966,0.55556,0.06667,187.8822,0.0
2034,ONE,严格一孩实验,1002,440,300,3,1,0,0.9781,58.4379,0.0,0.07588,250.9319,0.0
2034,TWO,严格二孩实验,1446,558,300,9,3,0,1.7295,34.122,0.22222,0.08115,197.8628,0.0
2034,THREE,严格三孩实验,1597,593,300,10,2,0,2.0059,33.0587,0.5,0.06728,192.617,0.0
2035,ONE,严格一孩实验,1004,440,300,2,0,0,0.9755,60.2391,0.0,0.07571,254.019,0.0
2035,TWO,严格二孩实验,1459,561,300,13,0,0,1.7211,35.3205,0.6,0.08259,202.9543,0.0
2035,THREE,严格三孩实验,1607,597,300,10,0,0,2.0,33.6603,0.27273,0.0716,195.922,0.0
2036,ONE,严格一孩实验,1003,442,300,1,2,0,0.9758,61.8509,0.0,0.07562,253.3443,0.0
2036,TWO,严格二孩实验,1470,566,300,13,2,0,1.7262,36.2256,0.5,0.08452,203.9288,0.0
2036,THREE,严格三孩实验,1610,598,300,4,1,0,1.9807,34.2151,0.28571,0.07125,200.029,0.0
2037,ONE,严格一孩实验,1004,443,300,1,0,0,0.9763,63.276,0.18182,0.07692,259.2405,0.0
2037,TWO,严格二孩实验,1480,575,300,13,3,0,1.7311,36.49,0.2,0.08539,200.8604,0.0
2037,THREE,严格三孩实验,1614,600,300,7,3,0,1.9605,34.9931,0.26667,0.07218,201.9117,0.0
2038,ONE,严格一孩实验,1005,450,300,1,0,0,0.9768,64.7795,0.2,0.07761,259.1117,0.0
2038,TWO,严格二孩实验,1494,584,300,15,1,0,1.733,37.2864,0.33333,0.08609,200.2909,0.0
2038,THREE,严格三孩实验,1622,604,300,9,1,0,1.9447,36.5919,0.4375,0.07532,204.2478,0.0
2039,ONE,严格一孩实验,1006,450,300,1,0,0,0.9776,66.2161,0.5,0.07837,258.4543,0.0
2039,TWO,严格二孩实验,1507,588,300,15,2,0,1.7314,37.8482,0.22222,0.08549,202.518,0.0
2039,THREE,严格三孩实验,1623,608,300,4,3,0,1.9415,37.4015,0.36364,0.07564,206.1021,0.0
2040,ONE,严格一孩实验,1006,452,300,0,0,0,0.9778,67.1776,0.0,0.07802,256.3122,0.0
2040,TWO,严格二孩实验,1517,591,300,12,2,0,1.7241,38.661,0.25,0.08618,201.8223,0.0
2040,THREE,严格三孩实验,1629,613,300,7,1,0,1.9249,38.1557,0.2,0.07662,208.3765,0.0
2041,ONE,严格一孩实验,1009,455,300,3,0,0,0.9784,67.6756,0.16667,0.0786,257.7233,0.0
2041,TWO,严格二孩实验,1525,598,300,10,2,0,1.7255,39.6312,0.3125,0.08853,202.6706,0.0
2041,THREE,严格三孩实验,1635,619,300,6,0,0,1.9074,39.3642,0.46154,0.0774,208.0126,0.0
2042,ONE,严格一孩实验,1007,458,300,2,4,0,0.9792,68.3278,0.42857,0.08152,259.3095,0.0
2042,TWO,严格二孩实验,1531,605,300,6,0,0,1.7106,40.1891,0.26667,0.08909,203.9619,0.0
2042,THREE,严格三孩实验,1644,629,300,9,0,0,1.9017,41.0594,0.29032,0.08244,208.6094,0.0
2043,ONE,严格一孩实验,1006,460,300,2,3,0,0.9798,69.645,0.16667,0.08234,258.2016,0.0
2043,TWO,严格二孩实验,1535,612,300,5,1,0,1.713,41.7488,0.33333,0.09113,202.7781,0.0
2043,THREE,严格三孩实验,1650,641,300,9,3,0,1.8828,42.6266,0.38095,0.0866,207.3194,0.0
2044,ONE,严格一孩实验,1010,466,300,5,1,0,0.9801,70.5055,0.25,0.08387,253.5675,0.0
2044,TWO,严格二孩实验,1540,622,300,5,0,0,1.7093,43.0645,0.16667,0.09223,201.8113,0.0
2044,THREE,严格三孩实验,1658,648,300,11,3,0,1.87,44.494,0.24138,0.08863,206.1423,0.0
2045,ONE,严格一孩实验,1011,468,300,4,3,0,0.9806,70.2517,0.27273,0.08635,255.6186,0.0
2045,TWO,严格二孩实验,1546,626,300,7,1,0,1.7,44.4059,0.17647,0.09417,204.2192,0.0
2045,THREE,严格三孩实验,1664,664,300,9,3,0,1.866,45.2789,0.39286,0.0921,204.0065,0.0
2046,ONE,严格一孩实验,1010,469,300,1,2,0,0.9762,71.0644,0.28571,0.08802,255.6344,0.0
