clan_id,surname,origin_country,founder_resources,branches_created,total_births,living_members,peak_living_members,extinct
1,ONE-族001,ONE,54.7999,1,1,3,3,0
2,ONE-族002,ONE,39.6819,1,1,2,3,0
3,ONE-族003,ONE,103.2585,3,3,4,5,0
4,ONE-族004,ONE,57.1774,3,3,3,5,0
5,ONE-族005,ONE,71.1888,2,2,4,4,0
6,ONE-族006,ONE,55.7571,2,2,4,4,0
7,ONE-族007,ONE,24.7562,1,1,1,3,0
8,ONE-族008,ONE,82.834,1,1,0,3,1
9,ONE-族009,ONE,76.1287,1,1,2,3,0
10,ONE-族010,ONE,98.5531,2,2,4,4,0
11,ONE-族011,ONE,145.4638,4,3,3,5,0
12,ONE-族012,ONE,80.4195,1,1,2,3,0
13,ONE-族013,ONE,322.8785,1,1,1,3,0
14,ONE-族014,ONE,101.7721,2,2,4,4,0
15,ONE-族015,ONE,143.6319,2,2,3,4,0
16,ONE-族016,ONE,80.4848,4,4,4,5,0
17,ONE-族017,ONE,49.1511,1,1,3,3,0
18,ONE-族018,ONE,41.0536,1,1,3,3,0
19,ONE-族019,ONE,175.9029,2,2,4,4,0
20,ONE-族020,ONE,96.5135,3,3,4,4,0
21,ONE-族021,ONE,153.9624,1,1,3,3,0
22,ONE-族022,ONE,345.6346,1,1,1,3,0
23,ONE-族023,ONE,23.3282,1,1,2,3,0
24,ONE-族024,ONE,23.4881,1,1,1,3,0
25,ONE-族025,ONE,67.2171,3,3,5,5,0
26,ONE-族026,ONE,193.9748,2,2,2,4,0
27,ONE-族027,ONE,36.6196,2,2,2,3,0
28,ONE-族028,ONE,24.0307,1,1,2,3,0
29,ONE-族029,ONE,25.0288,4,4,5,5,0
30,ONE-族030,ONE,78.1579,2,2,3,3,0
31,ONE-族031,ONE,193.3841,1,1,2,3,0
32,ONE-族032,ONE,172.0058,2,2,3,4,0
33,ONE-族033,ONE,45.9692,1,1,3,3,0
34,ONE-族034,ONE,66.2699,3,3,3,5,0
35,ONE-族035,ONE,68.4063,2,2,2,4,0
36,ONE-族036,ONE,134.8322,1,1,2,3,0
37,ONE-族037,ONE,200.3295,4,4,6,6,0
38,ONE-族038,ONE,22.318,1,1,3,3,0
39,ONE-族039,ONE,145.3339,1,1,3,3,0
40,ONE-族040,ONE,65.1714,2,2,4,4,0
41,ONE-族041,ONE,79.7158,1,1,1,3,0
42,ONE-族042,ONE,334.8684,1,1,1,3,0
43,ONE-族043,ONE,82.7009,1,1,1,3,0
44,ONE-族044,ONE,181.518,1,1,2,3,0
45,ONE-族045,ONE,499.5191,3,3,5,5,0
46,ONE-族046,ONE,40.7973,1,1,1,3,0
47,ONE-族047,ONE,123.5073,1,1,2,3,0
48,ONE-族048,ONE,28.1844,3,3,4,5,0
49,ONE-族049,ONE,61.5224,1,1,1,3,0
50,ONE-族050,ONE,87.8066,1,1,2,3,0
51,ONE-族051,ONE,335.415,2,2,1,4,0
52,ONE-族052,ONE,103.2397,1,1,1,3,0
53,ONE-族053,ONE,54.4899,1,1,1,3,0
54,ONE-族054,ONE,367.0472,1,1,1,3,0
55,ONE-族055,ONE,175.7908,2,2,2,3,0
56,ONE-族056,ONE,83.1926,3,3,3,4,0
57,ONE-族057,ONE,44.3887,2,2,2,4,0
58,ONE-族058,ONE,101.0666,1,1,2,3,0
59,ONE-族059,ONE,25.29,1,1,1,3,0
60,ONE-族060,ONE,60.3193,3,3,4,5,0
61,ONE-族061,ONE,196.7959,1,1,3,3,0
62,ONE-族062,ONE,154.5966,1,1,1,3,0
63,ONE-族063,ONE,11.8275,1,1,3,3,0
64,ONE-族064,ONE,156.4608,1,1,2,3,0
65,ONE-族065,ONE,34.426,1,1,2,3,0
66,ONE-族066,ONE,49.2618,1,0,1,2,0
67,ONE-族067,ONE,31.0983,1,1,3,3,0
68,ONE-族068,ONE,62.2407,3,3,4,4,0
69,ONE-族069,ONE,95.1908,1,1,3,3,0
70,ONE-族070,ONE,48.6683,1,1,1,3,0
71,ONE-族071,ONE,90.68,1,1,2,3,0
72,ONE-族072,ONE,46.8201,1,1,2,3,0
73,ONE-族073,ONE,14.9223,1,1,3,3,0
74,ONE-族074,ONE,127.6794,4,3,4,5,0
75,ONE-族075,ONE,140.138,1,1,1,3,0
76,ONE-族076,ONE,143.8189,1,1,2,3,0
77,ONE-族077,ONE,210.4873,1,1,3,3,0
78,ONE-族078,ONE,46.3769,3,3,4,5,0
79,ONE-族079,ONE,28.2138,1,1,1,3,0
80,ONE-族080,ONE,131.4651,2,2,4,4,0
81,ONE-族081,ONE,23.6846,3,3,3,4,0
82,ONE-族082,ONE,31.6324,1,1,2,3,0
83,ONE-族083,ONE,35.6659,2,1,1,3,0
84,ONE-族084,ONE,65.2449,2,2,2,4,0
85,ONE-族085,ONE,43.7118,1,1,1,3,0
86,ONE-族086,ONE,144.5304,2,2,2,4,0
87,ONE-族087,ONE,156.3439,3,2,3,4,0
88,ONE-族088,ONE,125.6135,1,1,1,3,0
89,ONE-族089,ONE,65.2891,3,3,4,4,0
90,ONE-族090,ONE,66.4907,1,0,0,2,1
91,ONE-族091,ONE,200.2824,2,2,4,4,0
92,ONE-族092,ONE,52.1784,2,2,3,4,0
93,ONE-族093,ONE,84.5229,2,2,2,4,0
94,ONE-族094,ONE,252.2692,1,1,2,3,0
95,ONE-族095,ONE,72.4277,2,1,1,3,0
96,ONE-族096,ONE,40.5887,1,1,1,3,0
97,ONE-族097,ONE,82.7984,1,1,2,3,0
98,ONE-族098,ONE,57.4043,2,2,3,4,0
99,ONE-族099,ONE,150.6742,4,4,6,6,0
100,ONE-族100,ONE,55.918,1,1,2,3,0
101,ONE-族101,ONE,69.3329,2,2,2,4,0
102,ONE-族102,ONE,231.8819,1,1,3,3,0
103,ONE-族103,ONE,27.2374,1,1,2,3,0
104,ONE-族104,ONE,136.6774,1,1,2,3,0
105,ONE-族105,ONE,49.6626,1,1,2,3,0
106,ONE-族106,ONE,187.3378,2,2,3,4,0
107,ONE-族107,ONE,47.2355,4,3,5,5,0
108,ONE-族108,ONE,147.8114,1,1,3,3,0
109,ONE-族109,ONE,98.9671,2,2,3,4,0
110,ONE-族110,ONE,36.1631,3,3,5,5,0
111,ONE-族111,ONE,76.2574,1,1,1,3,0
112,ONE-族112,ONE,5.6117,1,1,1,3,0
113,ONE-族113,ONE,58.9806,2,2,2,4,0
114,ONE-族114,ONE,214.0053,1,1,3,3,0
115,ONE-族115,ONE,49.3892,4,4,6,6,0
116,ONE-族116,ONE,117.1744,2,2,1,4,0
117,ONE-族117,ONE,82.8257,1,1,1,3,0
118,ONE-族118,ONE,59.4945,3,2,3,4,0
119,ONE-族119,ONE,60.4554,1,1,2,3,0
120,ONE-族120,ONE,112.538,3,3,5,5,0
121,ONE-族121,ONE,144.4463,2,2,2,4,0
122,ONE-族122,ONE,32.4298,3,3,3,5,0
123,ONE-族123,ONE,243.4103,1,1,2,3,0
124,ONE-族124,ONE,246.8553,2,2,3,4,0
125,ONE-族125,ONE,31.1214,1,1,1,3,0
126,ONE-族126,ONE,54.4192,2,2,4,4,0
127,ONE-族127,ONE,55.901,1,1,3,3,0
128,ONE-族128,ONE,48.1223,2,2,3,4,0
129,ONE-族129,ONE,30.5863,1,1,2,3,0
130,ONE-族130,ONE,30.4855,2,2,3,4,0
131,ONE-族131,ONE,96.4085,1,0,1,2,0
132,ONE-族132,ONE,538.9511,3,2,4,4,0
133,ONE-族133,ONE,143.4998,2,2,3,4,0
134,ONE-族134,ONE,557.3986,3,3,4,5,0
