year,country,policy,population,households,living_clans,births,deaths,migrants,mean_children_per_completed_family,mean_child_investment,upward_mobility_rate,high_status_share,median_household_resources,bottom_clan_extinction_share
2000,ONE,严格一孩实验,1090,300,300,0,0,0,0.0,0.0,0.0,0.025,81.2316,0.0
2000,TWO,严格二孩实验,1076,300,300,0,0,0,0.0,0.0,0.0,0.02833,90.3005,0.0
2000,THREE,严格三孩实验,1080,300,300,0,0,0,0.0,0.0,0.0,0.025,89.3555,0.0
2001,ONE,严格一孩实验,1100,300,300,10,0,0,0.0,15.6831,0.0,0.025,86.6547,0.0
2001,TWO,严格二孩实验,1106,300,300,30,0,0,0.0,19.554,0.0,0.02833,93.2286,0.0
2001,THREE,严格三孩实验,1113,300,300,35,2,0,0.0,18.6968,0.0,0.02504,93.3394,0.0
2002,ONE,严格一孩实验,1112,300,300,13,1,0,0.0,15.906,0.0,0.02504,91.1859,0.0
2002,TWO,严格二孩实验,1127,300,300,23,2,0,0.0,19.2257,0.0,0.02838,95.949,0.0
2002,THREE,严格三孩实验,1138,300,300,25,0,0,0.0,18.3999,0.0,0.02504,94.9953,0.0
2003,ONE,严格一孩实验,1119,300,300,9,2,0,0.0,16.6643,0.0,0.02508,94.6285,0.0
2003,TWO,严格二孩实验,1151,300,300,24,0,0,0.0,19.5048,0.0,0.02838,99.807,0.0
2003,THREE,严格三孩实验,1164,300,300,28,2,0,0.0,18.6178,0.0,0.02513,96.6945,0.0
2004,ONE,严格一孩实验,1126,300,300,7,0,0,0.0,17.6073,0.0,0.02508,97.3631,0.0
2004,TWO,严格二孩实验,1163,300,300,13,1,0,0.0,19.8512,0.0,0.02838,102.7405,0.0
2004,THREE,严格三孩实验,1186,300,300,23,1,0,0.0,18.8078,0.0,0.02513,100.1929,0.0
2005,ONE,严格一孩实验,1127,300,300,2,1,0,0.0,18.1246,0.0,0.02508,100.0731,0.0
2005,TWO,严格二孩实验,1178,300,300,15,0,0,0.0,19.9938,0.0,0.02838,103.6861,0.0
2005,THREE,严格三孩实验,1202,300,300,16,0,0,0.0,18.5552,0.0,0.02513,103.547,0.0
2006,ONE,严格一孩实验,1126,303,300,1,2,0,0.0,18.4882,0.36364,0.02632,101.0234,0.0
2006,TWO,严格二孩实验,1186,300,300,10,2,0,0.0,20.0914,0.375,0.02805,105.5103,0.0
2006,THREE,严格三孩实验,1216,301,300,15,1,0,0.0,18.7801,0.0,0.02488,104.6809,0.0
2007,ONE,严格一孩实验,1128,306,300,2,0,0,1.35,18.7489,0.18182,0.02585,105.348,0.0
2007,TWO,严格二孩实验,1194,303,300,8,0,0,2.1429,20.2623,0.09091,0.02755,107.2754,0.0
2007,THREE,严格三孩实验,1221,303,300,5,0,0,2.1053,18.8991,0.2,0.02589,108.5484,0.0
2008,ONE,严格一孩实验,1129,309,300,2,1,0,1.3889,19.3111,0.16667,0.02536,108.6164,0.0
2008,TWO,严格二孩实验,1204,309,300,10,0,0,2.0606,20.2976,0.33333,0.02729,107.4134,0.0
2008,THREE,严格三孩实验,1232,307,300,12,1,0,2.2286,19.1691,0.22222,0.02552,107.9668,0.0
2009,ONE,严格一孩实验,1131,312,300,2,0,0,1.6346,19.9593,0.23529,0.02469,110.2787,0.0
2009,TWO,严格二孩实验,1211,315,300,8,1,0,1.8889,20.1045,0.05556,0.02652,107.1284,0.0
2009,THREE,严格三孩实验,1239,315,300,7,0,0,2.0556,19.6085,0.13636,0.02465,108.4524,0.0
2010,ONE,严格一孩实验,1134,321,300,3,0,0,1.6324,20.8054,0.14286,0.02568,111.0855,0.0
2010,TWO,严格二孩实验,1218,318,300,9,2,0,1.913,20.1368,0.14286,0.02752,109.4918,0.0
2010,THREE,严格三孩实验,1247,321,300,9,1,0,2.0,19.6462,0.17647,0.02707,110.3159,0.0
2011,ONE,严格一孩实验,1140,332,300,6,0,0,1.7802,21.352,0.27586,0.03039,111.5365,0.0
2011,TWO,严格二孩实验,1226,322,300,9,1,0,1.8941,20.8236,0.19048,0.02667,112.2533,0.0
2011,THREE,严格三孩实验,1258,329,300,11,0,0,1.9891,20.4028,0.27273,0.0262,112.1422,0.0
2012,ONE,严格一孩实验,1144,335,300,4,0,0,1.7679,22.0013,0.30435,0.03501,114.9472,0.0
2012,TWO,严格二孩实验,1236,334,300,10,0,0,1.9182,21.3779,0.24,0.02714,111.3931,0.0
2012,THREE,严格三孩实验,1264,339,300,7,1,0,2.0,20.7792,0.20833,0.02817,112.9877,0.0
2013,ONE,严格一孩实验,1149,346,300,6,1,0,1.8,22.814,0.45455,0.0381,116.9918,0.0
2013,TWO,严格二孩实验,1244,343,300,9,1,0,1.9206,22.123,0.34615,0.0303,114.8724,0.0
2013,THREE,严格三孩实验,1275,350,300,12,1,0,2.053,21.4317,0.31034,0.02846,113.2835,0.0
2014,ONE,严格一孩实验,1159,363,300,11,1,0,1.7848,24.2054,0.27586,0.03932,114.249,0.0
2014,TWO,严格二孩实验,1253,353,300,10,1,0,1.9586,22.7131,0.2381,0.03213,117.1799,0.0
2014,THREE,严格三孩实验,1286,355,300,12,1,0,2.1083,21.9373,0.4,0.03166,116.5799,0.0
2015,ONE,严格一孩实验,1167,377,300,8,0,0,1.7944,25.3916,0.25806,0.0403,116.9878,0.0
2015,TWO,严格二孩实验,1263,369,300,10,0,0,1.9879,24.3495,0.37209,0.03544,116.6585,0.0
2015,THREE,严格三孩实验,1298,363,300,14,2,0,2.12,21.9432,0.25,0.03549,118.4988,0.0
2016,ONE,严格一孩实验,1174,388,300,9,2,0,1.801,26.118,0.37838,0.04332,121.3106,0.0
2016,TWO,严格二孩实验,1277,381,300,14,0,0,2.0108,25.7145,0.38462,0.04101,118.2759,0.0
2016,THREE,严格三孩实验,1307,380,300,12,3,0,2.1244,22.9429,0.4,0.03667,119.0573,0.0
2017,ONE,严格一孩实验,1189,400,300,16,1,0,1.7971,27.9799,0.26471,0.04509,123.3991,0.0
2017,TWO,严格二孩实验,1296,403,300,19,0,0,2.0192,26.4922,0.36585,0.04713,119.2457,0.0
2017,THREE,严格三孩实验,1327,393,300,21,1,0,2.1442,23.6484,0.35897,0.03967,119.2522,0.0
2018,ONE,严格一孩实验,1207,425,300,18,0,0,1.7983,29.7727,0.28125,0.04682,123.7045,0.0
2018,TWO,严格二孩实验,1318,416,300,22,0,0,2.0508,26.9764,0.39535,0.05038,122.2253,0.0
2018,THREE,严格三孩实验,1346,408,300,20,1,0,2.1494,24.7393,0.46512,0.04561,120.0833,0.0
2019,ONE,严格一孩实验,1218,438,300,13,2,0,1.8016,31.4184,0.27907,0.04899,128.8001,0.0
2019,TWO,严格二孩实验,1345,438,300,28,1,0,2.0615,28.2627,0.27586,0.05096,123.1831,0.0
