clan_id,surname,origin_country,founder_resources,branches_created,total_births,living_members,peak_living_members,extinct
1,ONE-族001,ONE,54.7999,1,1,3,3,0
2,ONE-族002,ONE,39.6819,1,1,3,3,0
3,ONE-族003,ONE,103.2585,3,5,7,7,0
4,ONE-族004,ONE,161.4859,1,1,3,3,0
5,ONE-族005,ONE,18.1648,1,1,3,3,0
6,ONE-族006,ONE,27.4985,2,2,4,4,0
7,ONE-族007,ONE,11.4724,1,0,2,2,0
8,ONE-族008,ONE,178.5427,2,2,4,4,0
9,ONE-族009,ONE,50.0562,1,3,5,5,0
10,ONE-族010,ONE,27.4669,3,5,6,7,0
11,ONE-族011,ONE,80.4195,1,1,3,3,0
12,ONE-族012,ONE,322.8785,2,2,4,4,0
13,ONE-族013,ONE,101.7721,1,0,1,2,0
14,ONE-族014,ONE,143.6319,2,2,4,4,0
15,ONE-族015,ONE,80.4848,2,3,5,5,0
16,ONE-族016,ONE,294.9011,1,1,3,3,0
17,ONE-族017,ONE,13.2254,1,1,2,3,0
18,ONE-族018,ONE,33.5349,2,3,5,5,0
19,ONE-族019,ONE,62.7047,1,3,5,5,0
20,ONE-族020,ONE,73.513,1,1,3,3,0
21,ONE-族021,ONE,59.5402,2,6,7,8,0
22,ONE-族022,ONE,46.3306,2,3,5,5,0
23,ONE-族023,ONE,146.2679,1,1,3,3,0
24,ONE-族024,ONE,86.2429,3,4,6,6,0
25,ONE-族025,ONE,358.8096,3,5,7,7,0
26,ONE-族026,ONE,65.1997,4,5,7,7,0
27,ONE-族027,ONE,125.1038,1,1,3,3,0
28,ONE-族028,ONE,176.5432,2,4,6,6,0
29,ONE-族029,ONE,181.4123,3,4,6,6,0
30,ONE-族030,ONE,139.5882,2,2,4,4,0
31,ONE-族031,ONE,114.3896,1,1,3,3,0
32,ONE-族032,ONE,41.6812,2,3,5,5,0
33,ONE-族033,ONE,32.8374,1,2,4,4,0
34,ONE-族034,ONE,117.0199,1,1,3,3,0
35,ONE-族035,ONE,85.7654,2,3,5,5,0
36,ONE-族036,ONE,106.2298,1,0,2,2,0
37,ONE-族037,ONE,79.7158,1,1,3,3,0
38,ONE-族038,ONE,334.8684,3,5,7,7,0
39,ONE-族039,ONE,123.0966,4,8,10,10,0
40,ONE-族040,ONE,159.0153,3,3,5,5,0
41,ONE-族041,ONE,75.1362,3,6,8,8,0
42,ONE-族042,ONE,8.6723,1,1,3,3,0
43,ONE-族043,ONE,71.1096,1,1,3,3,0
44,ONE-族044,ONE,76.2242,2,3,5,5,0
45,ONE-族045,ONE,46.011,1,1,3,3,0
46,ONE-族046,ONE,48.8272,1,1,3,3,0
47,ONE-族047,ONE,87.8454,2,1,3,3,0
48,ONE-族048,ONE,29.4108,3,4,5,5,0
49,ONE-族049,ONE,35.5769,1,1,3,3,0
50,ONE-族050,ONE,25.29,1,1,3,3,0
51,ONE-族051,ONE,60.3193,2,2,4,4,0
52,ONE-族052,ONE,200.8479,1,1,3,3,0
53,ONE-族053,ONE,121.3227,2,4,6,6,0
54,ONE-族054,ONE,43.0029,1,1,3,3,0
55,ONE-族055,ONE,37.7681,1,1,3,3,0
56,ONE-族056,ONE,39.7562,1,1,3,3,0
57,ONE-族057,ONE,64.7338,1,1,3,3,0
58,ONE-族058,ONE,178.3569,2,4,6,6,0
59,ONE-族059,ONE,61.8006,4,6,8,8,0
60,ONE-族060,ONE,88.9663,3,3,5,5,0
61,ONE-族061,ONE,110.6618,1,2,4,4,0
62,ONE-族062,ONE,17.9918,3,5,7,7,0
63,ONE-族063,ONE,186.2713,1,1,3,3,0
64,ONE-族064,ONE,38.7845,1,0,2,2,0
